"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 2-FLC","GO:0009214","cyclic nucleotide catabolic process","4/93","13/18800",3.87739910358604e-07,0.000690952520259033,0.000615486089285027,"10846/5142/5144/27115",4
"2","Liver epithelial cells 2-FLC","GO:0046058","cAMP metabolic process","4/93","22/18800",3.83386489661619e-06,0.00341597362288503,0.00304287803373538,"10846/5142/5144/27115",4
"3","Liver epithelial cells 2-FLC","GO:1901186","positive regulation of ERBB signaling pathway","4/93","38/18800",3.64144206906581e-05,0.0173979773506528,0.0154977552394025,"57142/374/2069/10551",4
"4","Liver epithelial cells 2-FLC","GO:0009187","cyclic nucleotide metabolic process","4/93","39/18800",4.0422975482059e-05,0.0173979773506528,0.0154977552394025,"10846/5142/5144/27115",4
"5","Liver epithelial cells 2-FLC","GO:0009154","purine ribonucleotide catabolic process","4/93","41/18800",4.93952417354987e-05,0.0173979773506528,0.0154977552394025,"10846/5142/5144/27115",4
"6","Liver epithelial cells 2-FLC","GO:0006195","purine nucleotide catabolic process","4/93","45/18800",7.15834800053898e-05,0.0173979773506528,0.0154977552394025,"10846/5142/5144/27115",4
"7","Liver epithelial cells 2-FLC","GO:0055119","relaxation of cardiac muscle","3/93","17/18800",7.57830591076136e-05,0.0173979773506528,0.0154977552394025,"5142/5144/481",3
"8","Liver epithelial cells 2-FLC","GO:0009261","ribonucleotide catabolic process","4/93","46/18800",7.81053977582618e-05,0.0173979773506528,0.0154977552394025,"10846/5142/5144/27115",4
"9","Liver epithelial cells 2-FLC","GO:1901019","regulation of calcium ion transmembrane transporter activity","5/93","91/18800",8.83691031085307e-05,0.0174970824154891,0.0155860359634695,"5142/5144/481/10681/2669",5
"10","Liver epithelial cells 2-FLC","GO:0072523","purine-containing compound catabolic process","4/93","50/18800",0.000108576427225749,0.0193483193316285,0.0172350791848873,"10846/5142/5144/27115",4
"11","Liver epithelial cells 2-FLC","GO:1903169","regulation of calcium ion transmembrane transport","6/93","156/18800",0.000124672173010362,0.0201968920276787,0.0179909700382418,"5142/5144/481/10681/2669/27075",6
"12","Liver epithelial cells 2-FLC","GO:0001556","oocyte maturation","3/93","27/18800",0.000314501988633485,0.0467035453120725,0.0416025437595873,"5139/6196/2069",3
"13","Liver epithelial cells 2-NML","GO:0009176","pyrimidine deoxyribonucleoside monophosphate metabolic process","4/94","13/18800",4.04817275214923e-07,0.00076550946743142,0.000672422800304367,"51733/6470/1806/1807",4
"14","Liver epithelial cells 2-NML","GO:0006805","xenobiotic metabolic process","7/94","108/18800",1.15188614361444e-06,0.00108910834878745,0.000956671755065045,"8647/1576/1555/348158/2180/1577/6822",7
"15","Liver epithelial cells 2-NML","GO:0009259","ribonucleotide metabolic process","11/94","384/18800",3.38834417063959e-06,0.00129350297675073,0.00113621180512268,"123876/348158/2180/51733/79071/6822/55022/1806/5207/1807/57678",11
"16","Liver epithelial cells 2-NML","GO:0009129","pyrimidine nucleoside monophosphate metabolic process","4/94","22/18800",4.00118786968417e-06,0.00129350297675073,0.00113621180512268,"51733/6470/1806/1807",4
"17","Liver epithelial cells 2-NML","GO:0019693","ribose phosphate metabolic process","11/94","394/18800",4.33187934639241e-06,0.00129350297675073,0.00113621180512268,"123876/348158/2180/51733/79071/6822/55022/1806/5207/1807/57678",11
"18","Liver epithelial cells 2-NML","GO:0009117","nucleotide metabolic process","12/94","487/18800",5.55097848693471e-06,0.00129350297675073,0.00113621180512268,"123876/348158/2180/51733/79071/6470/6822/55022/1806/5207/1807/57678",12
"19","Liver epithelial cells 2-NML","GO:0009162","deoxyribonucleoside monophosphate metabolic process","4/94","24/18800",5.76790460837851e-06,0.00129350297675073,0.00113621180512268,"51733/6470/1806/1807",4
"20","Liver epithelial cells 2-NML","GO:0006753","nucleoside phosphate metabolic process","12/94","495/18800",6.54758171192721e-06,0.00129350297675073,0.00113621180512268,"123876/348158/2180/51733/79071/6470/6822/55022/1806/5207/1807/57678",12
"21","Liver epithelial cells 2-NML","GO:0009219","pyrimidine deoxyribonucleotide metabolic process","4/94","25/18800",6.84031188128358e-06,0.00129350297675073,0.00113621180512268,"51733/6470/1806/1807",4
"22","Liver epithelial cells 2-NML","GO:0042178","xenobiotic catabolic process","4/94","25/18800",6.84031188128358e-06,0.00129350297675073,0.00113621180512268,"1576/1555/2180/1577",4
"23","Liver epithelial cells 2-NML","GO:0051918","negative regulation of fibrinolysis","3/94","10/18800",1.41619829033194e-05,0.00243457360637972,0.00213852717908497,"5345/5054/2147",3
"24","Liver epithelial cells 2-NML","GO:0071466","cellular response to xenobiotic stimulus","7/94","168/18800",2.13957406917272e-05,0.00337161213733802,0.00296162094838119,"8647/1576/1555/348158/2180/1577/6822",7
"25","Liver epithelial cells 2-NML","GO:0046394","carboxylic acid biosynthetic process","9/94","316/18800",2.90586415482804e-05,0.00392708793317548,0.00344955036797624,"8647/1576/123876/348158/51733/79071/6470/1806/9420",9
"26","Liver epithelial cells 2-NML","GO:0016053","organic acid biosynthetic process","9/94","318/18800",3.0528626876781e-05,0.00392708793317548,0.00344955036797624,"8647/1576/123876/348158/51733/79071/6470/1806/9420",9
"27","Liver epithelial cells 2-NML","GO:0033865","nucleoside bisphosphate metabolic process","6/94","125/18800",3.8669226120341e-05,0.00392708793317548,0.00344955036797624,"123876/348158/2180/79071/6822/57678",6
"28","Liver epithelial cells 2-NML","GO:0033875","ribonucleoside bisphosphate metabolic process","6/94","125/18800",3.8669226120341e-05,0.00392708793317548,0.00344955036797624,"123876/348158/2180/79071/6822/57678",6
"29","Liver epithelial cells 2-NML","GO:0034032","purine nucleoside bisphosphate metabolic process","6/94","125/18800",3.8669226120341e-05,0.00392708793317548,0.00344955036797624,"123876/348158/2180/79071/6822/57678",6
"30","Liver epithelial cells 2-NML","GO:0009158","ribonucleoside monophosphate catabolic process","3/94","14/18800",4.23385561218425e-05,0.00392708793317548,0.00344955036797624,"51733/1806/1807",3
"31","Liver epithelial cells 2-NML","GO:0009159","deoxyribonucleoside monophosphate catabolic process","3/94","14/18800",4.23385561218425e-05,0.00392708793317548,0.00344955036797624,"51733/1806/1807",3
"32","Liver epithelial cells 2-NML","GO:0051917","regulation of fibrinolysis","3/94","14/18800",4.23385561218425e-05,0.00392708793317548,0.00344955036797624,"5345/5054/2147",3
"33","Liver epithelial cells 2-NML","GO:0072521","purine-containing compound metabolic process","10/94","416/18800",4.36112356407642e-05,0.00392708793317548,0.00344955036797624,"123876/348158/2180/79071/6470/6822/55022/1806/5207/57678",10
"34","Liver epithelial cells 2-NML","GO:0006790","sulfur compound metabolic process","9/94","339/18800",5.01807146783971e-05,0.00415479982768042,0.00364957228315829,"123876/2690/348158/2180/79071/3141/6822/4482/57678",9
"35","Liver epithelial cells 2-NML","GO:0009173","pyrimidine ribonucleoside monophosphate metabolic process","3/94","15/18800",5.27314626463935e-05,0.00415479982768042,0.00364957228315829,"51733/1806/1807",3
"36","Liver epithelial cells 2-NML","GO:0046049","UMP metabolic process","3/94","15/18800",5.27314626463935e-05,0.00415479982768042,0.00364957228315829,"51733/1806/1807",3
"37","Liver epithelial cells 2-NML","GO:0009394","2'-deoxyribonucleotide metabolic process","4/94","43/18800",6.22928527676943e-05,0.0047118313833484,0.00413886828073354,"51733/6470/1806/1807",4
"38","Liver epithelial cells 2-NML","GO:0009262","deoxyribonucleotide metabolic process","4/94","44/18800",6.82608759782101e-05,0.00496466601826135,0.00436095798759577,"51733/6470/1806/1807",4
"39","Liver epithelial cells 2-NML","GO:0019692","deoxyribose phosphate metabolic process","4/94","45/18800",7.46348510507589e-05,0.00522720382729575,0.00459157095353207,"51733/6470/1806/1807",4
"40","Liver epithelial cells 2-NML","GO:0009125","nucleoside monophosphate catabolic process","3/94","18/18800",9.35452619074111e-05,0.00631764608096123,0.00554941440939454,"51733/1806/1807",3
"41","Liver epithelial cells 2-NML","GO:0006637","acyl-CoA metabolic process","5/94","93/18800",0.000103096826084377,0.00637599915997854,0.00560067169943284,"123876/348158/2180/79071/57678",5
