"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Lymphocytes-FLC","GO:0002181","cytoplasmic translation","18/96","146/18800",2.94373707157305e-20,5.92279898800497e-17,4.8556168327947e-17,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"2","Lymphocytes-FLC","GO:0030195","negative regulation of blood coagulation","5/96","48/18800",4.4981088381886e-06,0.0017417349958882,0.00142790558677242,"5054/5345/2244/2266/7448",5
"3","Lymphocytes-FLC","GO:1900047","negative regulation of hemostasis","5/96","49/18800",4.98910956737256e-06,0.0017417349958882,0.00142790558677242,"5054/5345/2244/2266/7448",5
"4","Lymphocytes-FLC","GO:0010951","negative regulation of endopeptidase activity","9/96","251/18800",5.51099765532261e-06,0.0017417349958882,0.00142790558677242,"197/2597/5054/2168/183/5345/6690/5858/7448",9
"5","Lymphocytes-FLC","GO:0042730","fibrinolysis","4/96","24/18800",6.27253988763416e-06,0.0017417349958882,0.00142790558677242,"5054/5345/2244/2266",4
"6","Lymphocytes-FLC","GO:0050819","negative regulation of coagulation","5/96","52/18800",6.71812675994502e-06,0.0017417349958882,0.00142790558677242,"5054/5345/2244/2266/7448",5
"7","Lymphocytes-FLC","GO:0031639","plasminogen activation","4/96","25/18800",7.43814028699322e-06,0.0017417349958882,0.00142790558677242,"5054/5345/2244/2266",4
"8","Lymphocytes-FLC","GO:0042178","xenobiotic catabolic process","4/96","25/18800",7.43814028699322e-06,0.0017417349958882,0.00142790558677242,"1555/1548/2180/1557",4
"9","Lymphocytes-FLC","GO:0010466","negative regulation of peptidase activity","9/96","262/18800",7.79106111480805e-06,0.0017417349958882,0.00142790558677242,"197/2597/5054/2168/183/5345/6690/5858/7448",9
"10","Lymphocytes-FLC","GO:0042255","ribosome assembly","5/96","62/18800",1.606675823608e-05,0.0032326317570993,0.00265016949009868,"6128/6223/6208/6134/6122",5
"11","Lymphocytes-FLC","GO:0051346","negative regulation of hydrolase activity","10/96","371/18800",1.98343636257034e-05,0.00362788541953775,0.00297420553124184,"197/2597/5054/2168/183/5345/6690/5858/7448/9734",10
"12","Lymphocytes-FLC","GO:0030193","regulation of blood coagulation","5/96","66/18800",2.18349403933269e-05,0.00366099167261447,0.00300134663125818,"5054/5345/2244/2266/7448",5
"13","Lymphocytes-FLC","GO:1900046","regulation of hemostasis","5/96","68/18800",2.52643318274135e-05,0.00391014120282738,0.00320560388449854,"5054/5345/2244/2266/7448",5
"14","Lymphocytes-FLC","GO:0050818","regulation of coagulation","5/96","71/18800",3.11769444952379e-05,0.00448057230888705,0.00367325353564195,"5054/5345/2244/2266/7448",5
"15","Lymphocytes-FLC","GO:0061045","negative regulation of wound healing","5/96","76/18800",4.33582323088031e-05,0.00581578422702079,0.00476788421248382,"5054/5345/2244/2266/7448",5
"16","Lymphocytes-FLC","GO:0010770","positive regulation of cell morphogenesis involved in differentiation","5/96","79/18800",5.22585960553934e-05,0.00657151845396572,0.00538744868544747,"5063/23316/5789/2244/2266",5
"17","Lymphocytes-FLC","GO:0010763","positive regulation of fibroblast migration","3/96","15/18800",5.6153587485437e-05,0.00664594223651173,0.00544846263713188,"9590/5063/5581",3
"18","Lymphocytes-FLC","GO:0061041","regulation of wound healing","6/96","133/18800",6.16163738260263e-05,0.00688734134099805,0.00564636595236159,"5054/5345/2244/2266/5581/7448",6
"19","Lymphocytes-FLC","GO:0045861","negative regulation of proteolysis","9/96","350/18800",7.57140479033475e-05,0.00801771917797554,0.0065730699758751,"197/2597/5054/2168/183/5345/6690/5858/7448",9
"20","Lymphocytes-FLC","GO:0090277","positive regulation of peptide hormone secretion","5/96","91/18800",0.000102754813965782,0.0100002686657942,0.00819839960201923,"25924/2244/6690/2266/5581",5
"21","Lymphocytes-FLC","GO:1903035","negative regulation of response to wounding","5/96","92/18800",0.000108224683501832,0.0100002686657942,0.00819839960201923,"5054/5345/2244/2266/7448",5
"22","Lymphocytes-FLC","GO:0002793","positive regulation of peptide secretion","5/96","93/18800",0.000113915367376769,0.0100002686657942,0.00819839960201923,"25924/2244/6690/2266/5581",5
"23","Lymphocytes-FLC","GO:0019373","epoxygenase P450 pathway","3/96","19/18800",0.000117828369998423,0.0100002686657942,0.00819839960201923,"1555/1548/1557",3
"24","Lymphocytes-FLC","GO:0009914","hormone transport","8/96","290/18800",0.000119287498995557,0.0100002686657942,0.00819839960201923,"3976/7276/183/25924/2244/6690/2266/5581",8
"25","Lymphocytes-FLC","GO:0010769","regulation of cell morphogenesis involved in differentiation","5/96","96/18800",0.000132372903566731,0.0106533712790505,0.00873382483743441,"5063/23316/5789/2244/2266",5
"26","Lymphocytes-FLC","GO:0046883","regulation of hormone secretion","7/96","231/18800",0.000182034725571839,0.0140866872250208,0.0115485188247397,"3976/183/25924/2244/6690/2266/5581",7
"27","Lymphocytes-FLC","GO:0043410","positive regulation of MAPK cascade","10/96","491/18800",0.000203962423567418,0.0148381996640767,0.0121646222002763,"4920/3976/9590/23236/5345/100133941/2244/2266/5581/5320",10
"28","Lymphocytes-FLC","GO:1903034","regulation of response to wounding","6/96","166/18800",0.000208284604268692,0.0148381996640767,0.0121646222002763,"5054/5345/2244/2266/5581/7448",6
"29","Lymphocytes-FLC","GO:0090303","positive regulation of wound healing","4/96","58/18800",0.00021930217999072,0.0148381996640767,0.0121646222002763,"5054/5345/5581/7448",4
"30","Lymphocytes-FLC","GO:0010817","regulation of hormone levels","10/96","496/18800",0.000221245521830169,0.0148381996640767,0.0121646222002763,"3976/7276/5122/183/25924/10720/2244/6690/2266/5581",10
"31","Lymphocytes-FLC","GO:0006805","xenobiotic metabolic process","5/96","108/18800",0.000230052290787296,0.0149311357762594,0.0122408128918062,"1555/1548/2180/1557/10720",5
"32","Lymphocytes-FLC","GO:0019835","cytolysis","3/96","24/18800",0.000241598487181889,0.0151905048815613,0.0124534483359875,"735/729/5320",3
"33","Lymphocytes-FLC","GO:0031638","zymogen activation","4/96","64/18800",0.00032083362850474,0.0191700880721399,0.0157159820074517,"5054/5345/2244/2266",4
"34","Lymphocytes-FLC","GO:0052548","regulation of endopeptidase activity","9/96","426/18800",0.000329283776172243,0.0191700880721399,0.0157159820074517,"197/2597/5054/2168/183/5345/6690/5858/7448",9
"35","Lymphocytes-FLC","GO:0000027","ribosomal large subunit assembly","3/96","27/18800",0.000345293361421868,0.0191700880721399,0.0157159820074517,"6128/6134/6122",3
"36","Lymphocytes-FLC","GO:0050804","modulation of chemical synaptic transmission","9/96","429/18800",0.000346595971636283,0.0191700880721399,0.0157159820074517,"4920/9590/23316/1009/23236/183/5789/320/5581",9
