"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Neutrophils and macrophages-FLC","GO:0002181","cytoplasmic translation","22/94","146/18800",7.34922423733049e-27,1.35299218209254e-23,1.14493177592096e-23,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"2","Neutrophils and macrophages-FLC","GO:0006364","rRNA processing","8/94","226/18800",1.76498194607164e-05,0.013157361332485,0.0111340488705097,"6234/6217/6129/6165/6232/6229/11224/6218",8
"3","Neutrophils and macrophages-FLC","GO:0042254","ribosome biogenesis","9/94","304/18800",2.14405670817247e-05,0.013157361332485,0.0111340488705097,"6234/6217/6129/6122/6165/6232/6229/11224/6218",9
"4","Neutrophils and macrophages-FLC","GO:0042274","ribosomal small subunit biogenesis","5/94","74/18800",3.44338990765155e-05,0.0158482020499662,0.0134110975350639,"6234/6217/6232/6229/6218",5
"5","Neutrophils and macrophages-FLC","GO:0016072","rRNA metabolic process","8/94","264/18800",5.33921502858995e-05,0.0196589897352682,0.0166358699838171,"6234/6217/6129/6165/6232/6229/11224/6218",8
"6","Neutrophils and macrophages-FLC","GO:0022613","ribonucleoprotein complex biogenesis","10/94","448/18800",8.091720915365e-05,0.02405371814246,0.0203547859291808,"6234/6217/23521/6129/6122/6165/6232/6229/11224/6218",10
"7","Neutrophils and macrophages-FLC","GO:0030195","negative regulation of blood coagulation","4/94","48/18800",9.6359130632917e-05,0.02405371814246,0.0203547859291808,"348/2266/2243/7448",4
"8","Neutrophils and macrophages-FLC","GO:1900047","negative regulation of hemostasis","4/94","49/18800",0.000104524576393091,0.02405371814246,0.0203547859291808,"348/2266/2243/7448",4
"9","Neutrophils and macrophages-FLC","GO:0050819","negative regulation of coagulation","4/94","52/18800",0.000132035945609007,0.0270086862073536,0.0228553449709159,"348/2266/2243/7448",4
"10","Neutrophils and macrophages-FLC","GO:0007160","cell-matrix adhesion","7/94","235/18800",0.000177375340482882,0.0326548001828986,0.0276332109383859,"2266/3680/87/2243/5747/6614/7448",7
"11","Neutrophils and macrophages-FLC","GO:0060396","growth hormone receptor signaling pathway","3/94","25/18800",0.000257064211659397,0.0401332936217054,0.0339616767546951,"2690/4067/5747",3
"12","Neutrophils and macrophages-FLC","GO:0015012","heparan sulfate proteoglycan biosynthetic process","3/94","26/18800",0.000289543919944844,0.0401332936217054,0.0339616767546951,"9348/6934/55790",3
"13","Neutrophils and macrophages-FLC","GO:0071378","cellular response to growth hormone stimulus","3/94","26/18800",0.000289543919944844,0.0401332936217054,0.0339616767546951,"2690/4067/5747",3
"14","Neutrophils and macrophages-FLC","GO:0030193","regulation of blood coagulation","4/94","66/18800",0.00033323342835181,0.0401332936217054,0.0339616767546951,"348/2266/2243/7448",4
"15","Neutrophils and macrophages-FLC","GO:1900046","regulation of hemostasis","4/94","68/18800",0.000373683064897898,0.0401332936217054,0.0339616767546951,"348/2266/2243/7448",4
"16","Neutrophils and macrophages-FLC","GO:0050818","regulation of coagulation","4/94","71/18800",0.000440773910887284,0.0401332936217054,0.0339616767546951,"348/2266/2243/7448",4
"17","Neutrophils and macrophages-FLC","GO:0034368","protein-lipid complex remodeling","3/94","30/18800",0.00044563539045574,0.0401332936217054,0.0339616767546951,"348/5320/337",3
