"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Stellate cells-FLC","GO:0030198","extracellular matrix organization","10/94","307/18800",3.13704835773948e-06,0.0020373408420599,0.00182294391605395,"10631/1295/151887/1277/83872/57188/4060/170691/1306/1545",10
"2","Stellate cells-FLC","GO:0043062","extracellular structure organization","10/94","308/18800",3.22909887511482e-06,0.0020373408420599,0.00182294391605395,"10631/1295/151887/1277/83872/57188/4060/170691/1306/1545",10
"3","Stellate cells-FLC","GO:0045229","external encapsulating structure organization","10/94","310/18800",3.42027002024605e-06,0.0020373408420599,0.00182294391605395,"10631/1295/151887/1277/83872/57188/4060/170691/1306/1545",10
"4","Stellate cells-FLC","GO:0042572","retinol metabolic process","5/94","51/18800",5.49734204292091e-06,0.00245593755767492,0.0021974901482097,"5950/8854/7276/1545/1558",5
"5","Stellate cells-FLC","GO:0002181","cytoplasmic translation","7/94","146/18800",8.58761711960558e-06,0.00287957349495166,0.0025765453060593,"6234/6171/6209/6132/25873/6143/6218",7
"6","Stellate cells-FLC","GO:0006721","terpenoid metabolic process","6/94","98/18800",9.66840569094011e-06,0.00287957349495166,0.0025765453060593,"5950/8854/7276/1545/1559/1558",6
"7","Stellate cells-FLC","GO:0006066","alcohol metabolic process","10/94","361/18800",1.30043589703556e-05,0.00316343293102896,0.00283053316186081,"5950/9971/5745/8854/3269/337/7276/1545/1559/1558",10
"8","Stellate cells-FLC","GO:0097267","omega-hydroxylase P450 pathway","3/94","10/18800",1.41619829033194e-05,0.00316343293102896,0.00283053316186081,"1545/1559/1558",3
"9","Stellate cells-FLC","GO:0042445","hormone metabolic process","8/94","230/18800",2.00255185058326e-05,0.00397617795221365,0.00355775001290757,"5950/8854/1363/7276/1545/1559/5046/1558",8
"10","Stellate cells-FLC","GO:0006720","isoprenoid metabolic process","6/94","117/18800",2.66225682618108e-05,0.00475745294838559,0.00425680854628322,"5950/8854/7276/1545/1559/1558",6
"11","Stellate cells-FLC","GO:0010817","regulation of hormone levels","11/94","496/18800",3.69985475181826e-05,0.00601058221954476,0.00537806638087267,"5950/9971/114897/8854/1363/3624/7276/1545/1559/5046/1558",11
"12","Stellate cells-FLC","GO:0001523","retinoid metabolic process","5/94","84/18800",6.34465825831466e-05,0.00887687129261638,0.00794272523399068,"5950/8854/7276/1545/1558",5
"13","Stellate cells-FLC","GO:0034754","cellular hormone metabolic process","6/94","137/18800",6.45771274784627e-05,0.00887687129261638,0.00794272523399068,"5950/8854/7276/1545/1559/1558",6
"14","Stellate cells-FLC","GO:0016101","diterpenoid metabolic process","5/94","87/18800",7.50471749451202e-05,0.00957923583049499,0.00857117734899531,"5950/8854/7276/1545/1558",5
