"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 1","GO:0042178","xenobiotic catabolic process","4/78","25/18800",3.24573444319946e-06,0.00290251628661786,0.0025732817995026,"1555/1576/1558/1548",4
"2","Liver epithelial cells 1","GO:0006805","xenobiotic metabolic process","6/78","108/18800",5.73759286450202e-06,0.00290251628661786,0.0025732817995026,"8647/1555/1576/1558/1548/348158",6
"3","Liver epithelial cells 1","GO:0071466","cellular response to xenobiotic stimulus","7/78","168/18800",6.22407218673688e-06,0.00290251628661786,0.0025732817995026,"8647/1555/5142/1576/1558/1548/348158",7
"4","Liver epithelial cells 1","GO:0009410","response to xenobiotic stimulus","10/78","411/18800",7.47589513616964e-06,0.00290251628661786,0.0025732817995026,"5139/8647/1555/5142/1576/1558/5122/148/1548/348158",10
"5","Liver epithelial cells 1","GO:0046394","carboxylic acid biosynthetic process","8/78","316/18800",4.92398174288023e-05,0.01332357205621,0.0118122698000629,"8647/51733/1576/123876/1558/79152/2744/348158",8
"6","Liver epithelial cells 1","GO:0016053","organic acid biosynthetic process","8/78","318/18800",5.14754876608244e-05,0.01332357205621,0.0118122698000629,"8647/51733/1576/123876/1558/79152/2744/348158",8
"7","Liver epithelial cells 1","GO:0019373","epoxygenase P450 pathway","3/78","19/18800",6.34626266049492e-05,0.0140796370167837,0.0124825737743269,"1555/1558/1548",3
"8","Liver epithelial cells 1","GO:0060997","dendritic spine morphogenesis","4/78","58/18800",9.81305781779597e-05,0.0190495984887964,0.0168887889811541,"5063/26115/1501/23316",4
"9","Liver epithelial cells 1","GO:0006631","fatty acid metabolic process","8/78","395/18800",0.000229921036743086,0.035415382365171,0.0313981903505227,"8647/1555/1576/123876/1558/79152/1548/348158",8
"10","Liver epithelial cells 1","GO:0070988","demethylation","4/78","74/18800",0.000253103818380562,0.035415382365171,0.0313981903505227,"7404/9760/1576/1558",4
"11","Liver epithelial cells 1","GO:0072330","monocarboxylic acid biosynthetic process","6/78","215/18800",0.000270031822315871,0.035415382365171,0.0313981903505227,"8647/1576/123876/1558/79152/348158",6
