"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 3-FLC","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","6/65","127/10891",0.000105085048518219,0.0181635319482295,0.0162079072153584,"514/1327/1349/1345/27089/1329",6
"2","Liver epithelial cells 3-FLC","R-HSA-196854","Metabolism of vitamins and cofactors","7/65","190/10891",0.000130402925301022,0.0181635319482295,0.0162079072153584,"10082/10243/3141/31/2262/335/25902",7
"3","Liver epithelial cells 3-FLC","R-HSA-159418","Recycling of bile acids and salts","3/65","18/10891",0.000155310642706151,0.0181635319482295,0.0162079072153584,"8647/570/28234",3
"4","Liver epithelial cells 3-FLC","R-HSA-5628897","TP53 Regulates Metabolic Genes","5/65","87/10891",0.000164159633884157,0.0181635319482295,0.0162079072153584,"1327/1349/1345/1329/57690",5
"5","Liver epithelial cells 3-FLC","R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type","3/65","20/10891",0.000215134896171923,0.0181635319482295,0.0162079072153584,"1462/10082/2262",3
"6","Liver epithelial cells 3-FLC","R-HSA-3560801","Defective B3GAT3 causes JDSSDHD","3/65","20/10891",0.000215134896171923,0.0181635319482295,0.0162079072153584,"1462/10082/2262",3
"7","Liver epithelial cells 3-FLC","R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1","3/65","20/10891",0.000215134896171923,0.0181635319482295,0.0162079072153584,"1462/10082/2262",3
"8","Liver epithelial cells 3-FLC","R-HSA-8957322","Metabolism of steroids","6/65","154/10891",0.000301062971280813,0.02224102700337,0.019846387975222,"8647/570/79071/31/28234/2638",6
"9","Liver epithelial cells 3-FLC","R-HSA-611105","Respiratory electron transport","5/65","103/10891",0.000361452416694822,0.02373537536296,0.0211798433642229,"1327/1349/1345/27089/1329",5
"10","Liver epithelial cells 3-FLC","R-HSA-1971475","A tetrasaccharide linker sequence is required for GAG synthesis","3/65","26/10891",0.000478270947649914,0.0282658130061099,0.0252224994497481,"1462/10082/2262",3
"11","Liver epithelial cells 3-FLC","R-HSA-9707564","Cytoprotection by HMOX1","4/65","64/10891",0.000561257384405529,0.0301548285621516,0.0269081291470976,"1327/1349/1345/1329",4
"12","Liver epithelial cells 3-FLC","R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport","6/65","178/10891",0.00065095955983119,0.0306869814926978,0.0273829864241546,"514/1327/1349/1345/27089/1329",6
