"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Unknown-NML","R-HSA-446652","Interleukin-1 family signaling","2/4","153/10891",0.00115485590102423,0.046226532573048,0.0110172470879161,"90865/4791",2
"2","Unknown-NML","R-HSA-8866904","Negative regulation of activity of TFAP2 (AP-2) family transcription factors","1/4","10/10891",0.0036682065472764,0.046226532573048,0.0110172470879161,"284252",1
"3","Unknown-NML","R-HSA-4755510","SUMOylation of immune response proteins","1/4","11/10891",0.00403447133670864,0.046226532573048,0.0110172470879161,"4791",1
"4","Unknown-NML","R-HSA-844456","The NLRP3 inflammasome","1/4","16/10891",0.00586428077323087,0.046226532573048,0.0110172470879161,"4791",1
"5","Unknown-NML","R-HSA-1810476","RIP-mediated NFkB activation via ZBP1","1/4","17/10891",0.00622993988834886,0.046226532573048,0.0110172470879161,"4791",1
"6","Unknown-NML","R-HSA-1606322","ZBP1(DAI) mediated induction of type I IFNs","1/4","21/10891",0.00769156772680935,0.046226532573048,0.0110172470879161,"4791",1
"7","Unknown-NML","R-HSA-622312","Inflammasomes","1/4","21/10891",0.00769156772680935,0.046226532573048,0.0110172470879161,"4791",1
"8","Unknown-NML","R-HSA-933542","TRAF6 mediated NF-kB activation","1/4","25/10891",0.00915158266056615,0.046226532573048,0.0110172470879161,"4791",1
"9","Unknown-NML","R-HSA-9660826","Purinergic signaling in leishmaniasis infection","1/4","26/10891",0.00951633451675571,0.046226532573048,0.0110172470879161,"4791",1
"10","Unknown-NML","R-HSA-9664424","Cell recruitment (pro-inflammatory response)","1/4","26/10891",0.00951633451675571,0.046226532573048,0.0110172470879161,"4791",1
"11","Unknown-NML","R-HSA-449147","Signaling by Interleukins","2/4","473/10891",0.0106534554235926,0.046226532573048,0.0110172470879161,"90865/4791",2
"12","Unknown-NML","R-HSA-5260271","Diseases of Immune System","1/4","31/10891",0.0113385834613137,0.046226532573048,0.0110172470879161,"4791",1
"13","Unknown-NML","R-HSA-5602358","Diseases associated with the TLR signaling cascade","1/4","31/10891",0.0113385834613137,0.046226532573048,0.0110172470879161,"4791",1
