"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Endothelial cells-FLC","R-HSA-156902","Peptide chain elongation","17/66","89/10891",1.18293628485446e-21,3.79722547438282e-19,3.20015394955365e-19,"6176/6222/6137/6187/6170/6171/1915/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",17
"2","Endothelial cells-FLC","R-HSA-156842","Eukaryotic Translation Elongation","17/66","93/10891",2.64628933081028e-21,4.24729437595051e-19,3.57945451588549e-19,"6176/6222/6137/6187/6170/6171/1915/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",17
"3","Endothelial cells-FLC","R-HSA-192823","Viral mRNA Translation","16/66","89/10891",5.93492218568332e-20,6.35036673868115e-18,5.3518421113004e-18,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",16
"4","Endothelial cells-FLC","R-HSA-2408557","Selenocysteine synthesis","16/66","93/10891",1.25834151169789e-19,8.07855250510043e-18,6.80828986329173e-18,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",16
"5","Endothelial cells-FLC","R-HSA-72764","Eukaryotic Translation Termination","16/66","93/10891",1.25834151169789e-19,8.07855250510043e-18,6.80828986329173e-18,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",16
"6","Endothelial cells-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","16/66","95/10891",1.8077590086238e-19,9.67151069613732e-18,8.15077307397046e-18,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",16
"7","Endothelial cells-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","16/66","101/10891",5.1031045693038e-19,2.04762070843315e-17,1.72565509777773e-17,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",16
"8","Endothelial cells-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","16/66","101/10891",5.1031045693038e-19,2.04762070843315e-17,1.72565509777773e-17,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",16
"9","Endothelial cells-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","16/66","111/10891",2.49171581194238e-18,8.44620068144888e-17,7.11812944788445e-17,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",16
"10","Endothelial cells-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","16/66","112/10891",2.89433668211644e-18,8.44620068144888e-17,7.11812944788445e-17,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",16
"11","Endothelial cells-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","16/66","112/10891",2.89433668211644e-18,8.44620068144888e-17,7.11812944788445e-17,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229",16
