"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 5-FLC","R-HSA-211981","Xenobiotics","4/79","25/10891",2.88909738187171e-05,0.0183168774010666,0.0161181222357053,"1576/1548/1555/1558",4
"2","Liver epithelial cells 5-FLC","R-HSA-211999","CYP2E1 reactions","3/79","11/10891",5.81291674020152e-05,0.0184269460664388,0.016214978275299,"1548/1555/1558",3
"3","Liver epithelial cells 5-FLC","R-HSA-9749641","Aspirin ADME","4/79","44/10891",0.00027927514755961,0.0360823074592686,0.0317509927833511,"1576/10720/1558/123876",4
"4","Liver epithelial cells 5-FLC","R-HSA-975634","Retinoid metabolism and transport","4/79","44/10891",0.00027927514755961,0.0360823074592686,0.0317509927833511,"337/7276/344/10082",4
"5","Liver epithelial cells 5-FLC","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","6/79","127/10891",0.000309641403389746,0.0360823074592686,0.0317509927833511,"514/4694/27089/1327/1349/4697",6
"6","Liver epithelial cells 5-FLC","R-HSA-6806667","Metabolism of fat-soluble vitamins","4/79","48/10891",0.000391608144081538,0.0360823074592686,0.0317509927833511,"337/7276/344/10082",4
"7","Liver epithelial cells 5-FLC","R-HSA-5668914","Diseases of metabolism","8/79","249/10891",0.000428952353257822,0.0360823074592686,0.0317509927833511,"56667/1462/2131/10082/79875/1586/727897/7314",8
"8","Liver epithelial cells 5-FLC","R-HSA-1227986","Signaling by ERBB2","4/79","50/10891",0.000458439507064664,0.0360823074592686,0.0317509927833511,"2069/7314/3084/5581",4
"9","Liver epithelial cells 5-FLC","R-HSA-1250196","SHC1 events in ERBB2 signaling","3/79","22/10891",0.000512209411882362,0.0360823074592686,0.0317509927833511,"2069/3084/5581",3
"10","Liver epithelial cells 5-FLC","R-HSA-3781865","Diseases of glycosylation","6/79","143/10891",0.000583660446906945,0.0370040723339003,0.0325621091432296,"56667/1462/2131/10082/79875/727897",6
"11","Liver epithelial cells 5-FLC","R-HSA-9748784","Drug ADME","5/79","99/10891",0.000742457455927283,0.0427925479143543,0.0376557369991828,"1576/10720/6580/1558/123876",5
"12","Liver epithelial cells 5-FLC","R-HSA-611105","Respiratory electron transport","5/79","103/10891",0.000888504641589255,0.046942661897299,0.0413076719335355,"4694/27089/1327/1349/4697",5
"13","Liver epithelial cells 5-NML","R-HSA-156902","Peptide chain elongation","14/78","89/10891",1.37458567513905e-15,4.57222263062918e-13,3.80903960506551e-13,"6170/6234/6209/6228/6137/25873/6159/6222/6187/6156/6168/1915/6158/6129",14
"14","Liver epithelial cells 5-NML","R-HSA-156842","Eukaryotic Translation Elongation","14/78","93/10891",2.61269864607382e-15,4.57222263062918e-13,3.80903960506551e-13,"6170/6234/6209/6228/6137/25873/6159/6222/6187/6156/6168/1915/6158/6129",14
"15","Liver epithelial cells 5-NML","R-HSA-192823","Viral mRNA Translation","13/78","89/10891",4.19623235976492e-14,4.66813617941257e-12,3.8889435239016e-12,"6170/6234/6209/6228/6137/25873/6159/6222/6187/6156/6168/6158/6129",13
"16","Liver epithelial cells 5-NML","R-HSA-2408557","Selenocysteine synthesis","13/78","93/10891",7.57536792991249e-14,4.66813617941257e-12,3.8889435239016e-12,"6170/6234/6209/6228/6137/25873/6159/6222/6187/6156/6168/6158/6129",13
