"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Lymphocytes-FLC","R-HSA-156902","Peptide chain elongation","21/81","89/10891",1.07515108555295e-26,3.67701671259109e-24,2.93120138061278e-24,"6176/6137/6234/1915/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",21
"2","Lymphocytes-FLC","R-HSA-156842","Eukaryotic Translation Elongation","21/81","93/10891",2.98716803137336e-26,5.10805733364844e-24,4.0719816848721e-24,"6176/6137/6234/1915/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",21
"3","Lymphocytes-FLC","R-HSA-192823","Viral mRNA Translation","20/81","89/10891",5.7704580666133e-25,6.57832219593916e-23,5.24403031316788e-23,"6176/6137/6234/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",20
"4","Lymphocytes-FLC","R-HSA-2408557","Selenocysteine synthesis","20/81","93/10891",1.51493825653765e-24,1.03621776747175e-22,8.26040017775265e-23,"6176/6137/6234/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",20
"5","Lymphocytes-FLC","R-HSA-72764","Eukaryotic Translation Termination","20/81","93/10891",1.51493825653765e-24,1.03621776747175e-22,8.26040017775265e-23,"6176/6137/6234/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",20
"6","Lymphocytes-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","20/81","95/10891",2.41142190970137e-24,1.37451048852978e-22,1.09571627125027e-22,"6176/6137/6234/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",20
"7","Lymphocytes-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","20/81","101/10891",9.11702048012213e-24,3.89752625525221e-22,3.10698461098899e-22,"6176/6137/6234/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",20
"8","Lymphocytes-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","20/81","101/10891",9.11702048012213e-24,3.89752625525221e-22,3.10698461098899e-22,"6176/6137/6234/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",20
"9","Lymphocytes-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","20/81","111/10891",6.9275841777986e-23,2.60796781022999e-21,2.07898942089741e-21,"6176/6137/6234/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",20
"10","Lymphocytes-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","20/81","112/10891",8.38820055921928e-23,2.60796781022999e-21,2.07898942089741e-21,"6176/6137/6234/6222/6128/6171/6223/6158/6209/6206/6167/6130/6142/6159/6134/6217/6157/6210/6165/6202",20
