"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Stellate cells-FLC","R-HSA-156902","Peptide chain elongation","8/65","89/10891",4.98673756015117e-08,3.99175233242702e-06,3.01595811655957e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"2","Stellate cells-FLC","R-HSA-192823","Viral mRNA Translation","8/65","89/10891",4.98673756015117e-08,3.99175233242702e-06,3.01595811655957e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"3","Stellate cells-FLC","R-HSA-156842","Eukaryotic Translation Elongation","8/65","93/10891",7.0576474206445e-08,3.99175233242702e-06,3.01595811655957e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"4","Stellate cells-FLC","R-HSA-2408557","Selenocysteine synthesis","8/65","93/10891",7.0576474206445e-08,3.99175233242702e-06,3.01595811655957e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"5","Stellate cells-FLC","R-HSA-72764","Eukaryotic Translation Termination","8/65","93/10891",7.0576474206445e-08,3.99175233242702e-06,3.01595811655957e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"6","Stellate cells-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","8/65","95/10891",8.34512682737356e-08,3.99175233242702e-06,3.01595811655957e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"7","Stellate cells-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","8/65","101/10891",1.34911184353132e-07,4.83993873866862e-06,3.6568031548349e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"8","Stellate cells-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","8/65","101/10891",1.34911184353132e-07,4.83993873866862e-06,3.6568031548349e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"9","Stellate cells-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","8/65","111/10891",2.81281169942805e-07,7.86653553353474e-06,5.94354050947426e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"10","Stellate cells-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","8/65","112/10891",3.01504846233039e-07,7.86653553353474e-06,5.94354050947426e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"11","Stellate cells-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","8/65","112/10891",3.01504846233039e-07,7.86653553353474e-06,5.94354050947426e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"12","Stellate cells-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","8/65","115/10891",3.69830848478101e-07,8.16472719332423e-06,6.1688384442501e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"13","Stellate cells-FLC","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","8/65","115/10891",3.69830848478101e-07,8.16472719332423e-06,6.1688384442501e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"14","Stellate cells-FLC","R-HSA-2408522","Selenoamino acid metabolism","8/65","118/10891",4.51016439563187e-07,8.63270638941873e-06,6.5224189114992e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"15","Stellate cells-FLC","R-HSA-72613","Eukaryotic Translation Initiation","8/65","119/10891",4.81265861431009e-07,8.63270638941873e-06,6.5224189114992e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"16","Stellate cells-FLC","R-HSA-72737","Cap-dependent Translation Initiation","8/65","119/10891",4.81265861431009e-07,8.63270638941873e-06,6.5224189114992e-06,"6170/6222/6228/6209/6134/6132/6143/6218",8
"17","Stellate cells-FLC","R-HSA-168273","Influenza Viral RNA Transcription and Replication","8/65","135/10891",1.26120597483386e-06,2.12921243986658e-05,1.60872093384381e-05,"6170/6222/6228/6209/6134/6132/6143/6218",8
"18","Stellate cells-FLC","R-HSA-168255","Influenza Infection","8/65","156/10891",3.74108579551365e-06,5.65100854374956e-05,4.26960484141724e-05,"6170/6222/6228/6209/6134/6132/6143/6218",8
"19","Stellate cells-FLC","R-HSA-9711097","Cellular response to starvation","8/65","156/10891",3.74108579551365e-06,5.65100854374956e-05,4.26960484141724e-05,"6170/6222/6228/6209/6134/6132/6143/6218",8
"20","Stellate cells-FLC","R-HSA-3000178","ECM proteoglycans","6/65","76/10891",5.63264178073605e-06,8.08284095535623e-05,6.10696950964014e-05,"1462/1278/1293/4060/1286/4684",6
"21","Stellate cells-FLC","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","8/65","171/10891",7.38810524866229e-06,0.000100970771731718,7.62882045726532e-05,"6170/6222/6228/6209/6134/6132/6143/6218",8
"22","Stellate cells-FLC","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","8/65","184/10891",1.26428875209297e-05,0.000164932214477583,0.000124614106665623,"6170/6222/6228/6209/6134/6132/6143/6218",8
"23","Stellate cells-FLC","R-HSA-8868773","rRNA processing in the nucleus and cytosol","8/65","194/10891",1.85730146233661e-05,0.000231758921604611,0.000175104851826701,"6170/6222/6228/6209/6134/6132/6143/6218",8
"24","Stellate cells-FLC","R-HSA-72312","rRNA processing","8/65","204/10891",2.66885409574724e-05,0.000319150468949774,0.000241133308650847,"6170/6222/6228/6209/6134/6132/6143/6218",8
