"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 1","R-HSA-211859","Biological oxidations","11/72","222/10891",1.99915569949913e-07,2.35169932269388e-05,1.89663103270415e-05,"1557/348158/1562/4143/4051/123876/1559/1555/9971/1577/8460",11
"2","Liver epithelial cells 1","R-HSA-211897","Cytochrome P450 - arranged by substrate type","7/72","66/10891",2.33999932606356e-07,2.35169932269388e-05,1.89663103270415e-05,"1557/1562/4051/1559/1555/9971/1577",7
"3","Liver epithelial cells 1","R-HSA-211981","Xenobiotics","5/72","25/10891",5.25790391306173e-07,2.941908484347e-05,2.37263108975878e-05,"1557/1562/1559/1555/1577",5
"4","Liver epithelial cells 1","R-HSA-977606","Regulation of Complement cascade","6/72","47/10891",5.85454424745673e-07,2.941908484347e-05,2.37263108975878e-05,"731/10878/729/727/725/735",6
"5","Liver epithelial cells 1","R-HSA-166658","Complement cascade","6/72","58/10891",2.0841122811936e-06,8.37813137039826e-05,6.75691139586977e-05,"731/10878/729/727/725/735",6
"6","Liver epithelial cells 1","R-HSA-211945","Phase I - Functionalization of compounds","7/72","106/10891",5.93852795869102e-06,0.000198940686616149,0.000160444439585687,"1557/1562/4051/1559/1555/9971/1577",7
"7","Liver epithelial cells 1","R-HSA-9749641","Aspirin ADME","5/72","44/10891",9.74907794520038e-06,0.000279937809569325,0.000225768120836219,"1557/348158/1244/123876/1559",5
"8","Liver epithelial cells 1","R-HSA-211999","CYP2E1 reactions","3/72","11/10891",4.40099326368159e-05,0.00104123894861301,0.000839752804851546,"1557/1559/1555",3
"9","Liver epithelial cells 1","R-HSA-9748784","Drug ADME","6/72","99/10891",4.66226394901346e-05,0.00104123894861301,0.000839752804851546,"1557/348158/10599/1244/123876/1559",6
"10","Liver epithelial cells 1","R-HSA-5619115","Disorders of transmembrane transporters","7/72","176/10891",0.000155390381396479,0.00294090237995093,0.00237181967275435,"10599/1244/56606/6505/8647/5244/2646",7
"11","Liver epithelial cells 1","R-HSA-8978868","Fatty acid metabolism","7/72","177/10891",0.000160944906365474,0.00294090237995093,0.00237181967275435,"1557/4051/1559/32/2180/2053/51422",7
"12","Liver epithelial cells 1","R-HSA-159418","Recycling of bile acids and salts","3/72","18/10891",0.00021052939385301,0.00352636734703792,0.00284399356608453,"10599/9971/8647",3
"13","Liver epithelial cells 1","R-HSA-2142753","Arachidonic acid metabolism","4/72","59/10891",0.000607339739979652,0.00939040674891616,0.0075733052596653,"1557/4051/1559/2053",4
"14","Liver epithelial cells 1","R-HSA-2151209","Activation of PPARGC1A (PGC-1alpha) by phosphorylation","2/72","10/10891",0.00187417614468635,0.0269078146487112,0.0217009869384736,"10891/51422",2
"15","Liver epithelial cells 1","R-HSA-75109","Triglyceride biosynthesis","2/72","13/10891",0.00320715964166991,0.0404771386077339,0.0326445632133597,"392636/57678",2
"16","Liver epithelial cells 1","R-HSA-194068","Bile acid and bile salt metabolism","3/72","45/10891",0.00322206078469524,0.0404771386077339,0.0326445632133597,"10599/9971/8647",3
"17","Liver epithelial cells 1","R-HSA-8957322","Metabolism of steroids","5/72","154/10891",0.00346140477354429,0.0407969898894376,0.0329025213038669,"10599/9971/8647/32/57678",5
"18","Liver epithelial cells 1","R-HSA-200425","Carnitine metabolism","2/72","14/10891",0.0037257339443437,0.0407969898894376,0.0329025213038669,"32/51422",2
"19","Liver epithelial cells 1","R-HSA-5619102","SLC transporter disorders","4/72","98/10891",0.00397322789747305,0.0407969898894376,0.0329025213038669,"10599/56606/6505/2646",4
"20","Liver epithelial cells 1","R-HSA-189483","Heme degradation","2/72","15/10891",0.00428060452408457,0.0407969898894376,0.0329025213038669,"10599/1244",2
"21","Liver epithelial cells 1","R-HSA-211935","Fatty acids","2/72","15/10891",0.00428060452408457,0.0407969898894376,0.0329025213038669,"4051/1555",2
"22","Liver epithelial cells 1","R-HSA-382556","ABC-family proteins mediated transport","4/72","103/10891",0.00474445373822448,0.0407969898894376,0.0329025213038669,"10351/1244/23460/5244",4
"23","Liver epithelial cells 1","R-HSA-9651496","Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)","2/72","16/10891",0.00487128237485822,0.0407969898894376,0.0329025213038669,"2160/8460",2
"24","Liver epithelial cells 1","R-HSA-9671793","Diseases of hemostasis","2/72","16/10891",0.00487128237485822,0.0407969898894376,0.0329025213038669,"2160/8460",2
"25","Liver epithelial cells 1","R-HSA-9018677","Biosynthesis of DHA-derived SPMs","2/72","17/10891",0.00549728321373483,0.0431462776451296,0.0347972074226235,"1559/2053",2
"26","Liver epithelial cells 1","R-HSA-163685","Integration of energy metabolism","4/72","108/10891",0.00561068209667211,0.0431462776451296,0.0347972074226235,"51085/32/5207/51422",4
