"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Endothelial cells-FLC","R-HSA-156902","Peptide chain elongation","10/34","89/10891",8.8271909176271e-14,1.62080350704487e-11,1.13496518451301e-11,"6176/6222/6137/6187/6170/6171/1915/6234/6167/6208",10
"2","Endothelial cells-FLC","R-HSA-156842","Eukaryotic Translation Elongation","10/34","93/10891",1.39124764553208e-13,1.62080350704487e-11,1.13496518451301e-11,"6176/6222/6137/6187/6170/6171/1915/6234/6167/6208",10
"3","Endothelial cells-FLC","R-HSA-192823","Viral mRNA Translation","9/34","89/10891",4.76934080770689e-12,3.33525310356403e-10,2.33550590039496e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"4","Endothelial cells-FLC","R-HSA-2408557","Selenocysteine synthesis","9/34","93/10891",7.15719550121036e-12,3.33525310356403e-10,2.33550590039496e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"5","Endothelial cells-FLC","R-HSA-72764","Eukaryotic Translation Termination","9/34","93/10891",7.15719550121036e-12,3.33525310356403e-10,2.33550590039496e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"6","Endothelial cells-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","9/34","95/10891",8.70702262047766e-12,3.38122711761882e-10,2.36769913363866e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"7","Endothelial cells-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","9/34","101/10891",1.52829927705475e-11,4.45117164442197e-10,3.11692615715114e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"8","Endothelial cells-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","9/34","101/10891",1.52829927705475e-11,4.45117164442197e-10,3.11692615715114e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"9","Endothelial cells-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","9/34","111/10891",3.62176801065148e-11,8.32453599092136e-10,5.82924363493477e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"10","Endothelial cells-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","9/34","112/10891",3.93003845064957e-11,8.32453599092136e-10,5.82924363493477e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"11","Endothelial cells-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","9/34","112/10891",3.93003845064957e-11,8.32453599092136e-10,5.82924363493477e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"12","Endothelial cells-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","9/34","115/10891",4.99844840147197e-11,8.95875751956129e-10,6.27335629334538e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"13","Endothelial cells-FLC","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","9/34","115/10891",4.99844840147197e-11,8.95875751956129e-10,6.27335629334538e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"14","Endothelial cells-FLC","R-HSA-2408522","Selenoamino acid metabolism","9/34","118/10891",6.31556657917065e-11,9.92881714977094e-10,6.95263907031622e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"15","Endothelial cells-FLC","R-HSA-72613","Eukaryotic Translation Initiation","9/34","119/10891",6.81807186250365e-11,9.92881714977094e-10,6.95263907031622e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"16","Endothelial cells-FLC","R-HSA-72737","Cap-dependent Translation Initiation","9/34","119/10891",6.81807186250365e-11,9.92881714977094e-10,6.95263907031622e-10,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"17","Endothelial cells-FLC","R-HSA-168273","Influenza Viral RNA Transcription and Replication","9/34","135/10891",2.1308891806357e-10,2.92057164169482e-09,2.04512583900021e-09,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"18","Endothelial cells-FLC","R-HSA-376176","Signaling by ROBO receptors","10/34","218/10891",7.24126489346522e-10,9.06140690782464e-09,6.34523637096372e-09,"6176/6222/6137/6187/6170/6171/6234/5578/6167/6208",10
"19","Endothelial cells-FLC","R-HSA-168255","Influenza Infection","9/34","156/10891",7.77803168053617e-10,9.06140690782464e-09,6.34523637096372e-09,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
"20","Endothelial cells-FLC","R-HSA-9711097","Cellular response to starvation","9/34","156/10891",7.77803168053617e-10,9.06140690782464e-09,6.34523637096372e-09,"6176/6222/6137/6187/6170/6171/6234/6167/6208",9
