"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 5-FLC","R-HSA-975634","Retinoid metabolism and transport","4/39","44/10891",1.71931775225417e-05,0.00241478815258659,0.0018614794371348,"337/7276/344/10082",4
"2","Liver epithelial cells 5-FLC","R-HSA-6806667","Metabolism of fat-soluble vitamins","4/39","48/10891",2.43917995210767e-05,0.00241478815258659,0.0018614794371348,"337/7276/344/10082",4
"3","Liver epithelial cells 5-FLC","R-HSA-211981","Xenobiotics","3/39","25/10891",9.24687140577648e-05,0.00610293512781248,0.00470454860995646,"1576/1548/1555",3
"4","Liver epithelial cells 5-FLC","R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","3/39","41/10891",0.000411926286723379,0.0156192023152079,0.0120403207639827,"1462/2131/10082",3
"5","Liver epithelial cells 5-FLC","R-HSA-2187338","Visual phototransduction","4/39","105/10891",0.000517611738308763,0.0156192023152079,0.0120403207639827,"337/7276/344/10082",4
"6","Liver epithelial cells 5-FLC","R-HSA-8963888","Chylomicron assembly","2/39","10/10891",0.000552194021244723,0.0156192023152079,0.0120403207639827,"337/344",2
"7","Liver epithelial cells 5-FLC","R-HSA-8963901","Chylomicron remodeling","2/39","10/10891",0.000552194021244723,0.0156192023152079,0.0120403207639827,"337/344",2
"8","Liver epithelial cells 5-FLC","R-HSA-211999","CYP2E1 reactions","2/39","11/10891",0.000673377594310107,0.0166660954591751,0.0128473356809165,"1548/1555",2
"9","Liver epithelial cells 5-FLC","R-HSA-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","3/39","55/10891",0.000979290133790188,0.0199187238350196,0.0153546781290688,"1462/2131/10082",3
"10","Liver epithelial cells 5-FLC","R-HSA-3656237","Defective EXT2 causes exostoses 2","2/39","14/10891",0.0011065957686122,0.0199187238350196,0.0153546781290688,"2131/10082",2
"11","Liver epithelial cells 5-FLC","R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","2/39","14/10891",0.0011065957686122,0.0199187238350196,0.0153546781290688,"2131/10082",2
