"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Neutrophils and macrophages-FLC","R-HSA-156902","Peptide chain elongation","10/39","89/10891",4.14018155010053e-13,7.98008231300748e-11,4.83433557952333e-11,"6176/6222/6171/1915/6137/6208/6156/6234/6217/6206",10
"2","Neutrophils and macrophages-FLC","R-HSA-156842","Eukaryotic Translation Elongation","10/39","93/10891",6.51435290857754e-13,7.98008231300748e-11,4.83433557952333e-11,"6176/6222/6171/1915/6137/6208/6156/6234/6217/6206",10
"3","Neutrophils and macrophages-FLC","R-HSA-192823","Viral mRNA Translation","9/39","89/10891",1.8639892216708e-11,1.36836470672821e-09,8.2895563329185e-10,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"4","Neutrophils and macrophages-FLC","R-HSA-2408557","Selenocysteine synthesis","9/39","93/10891",2.79258103413921e-11,1.36836470672821e-09,8.2895563329185e-10,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"5","Neutrophils and macrophages-FLC","R-HSA-72764","Eukaryotic Translation Termination","9/39","93/10891",2.79258103413921e-11,1.36836470672821e-09,8.2895563329185e-10,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"6","Neutrophils and macrophages-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","9/39","95/10891",3.39446606415806e-11,1.38607364286454e-09,8.3968371060752e-10,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"7","Neutrophils and macrophages-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","9/39","101/10891",5.94328750638148e-11,1.82013179882933e-09,1.10263623473656e-09,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"8","Neutrophils and macrophages-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","9/39","101/10891",5.94328750638148e-11,1.82013179882933e-09,1.10263623473656e-09,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"9","Neutrophils and macrophages-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","9/39","111/10891",1.40259628986659e-10,3.38845400147705e-09,2.05272616201188e-09,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"10","Neutrophils and macrophages-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","9/39","112/10891",1.52134669454072e-10,3.38845400147705e-09,2.05272616201188e-09,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"11","Neutrophils and macrophages-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","9/39","112/10891",1.52134669454072e-10,3.38845400147705e-09,2.05272616201188e-09,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"12","Neutrophils and macrophages-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","9/39","115/10891",1.93252262750704e-10,3.64206187491712e-09,2.20636186622262e-09,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
