"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Stellate cells-NML","R-HSA-3906995","Diseases associated with O-glycosylation of proteins","5/33","68/10891",1.69397209951524e-06,0.000340427986525885,0.000272544273868018,"92949/11093/9509/9719/56667",5
"2","Stellate cells-NML","R-HSA-5083635","Defective B3GALTL causes PpS","4/33","37/10891",4.29920620503783e-06,0.000340427986525885,0.000272544273868018,"92949/11093/9509/9719",4
"3","Stellate cells-NML","R-HSA-5173214","O-glycosylation of TSR domain-containing proteins","4/33","38/10891",4.79476037360401e-06,0.000340427986525885,0.000272544273868018,"92949/11093/9509/9719",4
"4","Stellate cells-NML","R-HSA-5173105","O-linked glycosylation","5/33","111/10891",1.89894141369043e-05,0.00101118630279015,0.000809548707941709,"92949/11093/9509/9719/56667",5
"5","Stellate cells-NML","R-HSA-211897","Cytochrome P450 - arranged by substrate type","4/33","66/10891",4.41027054690641e-05,0.00166150712378755,0.00133019102571576,"9971/1577/1576/1555",4
"6","Stellate cells-NML","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","4/33","67/10891",4.68030175714803e-05,0.00166150712378755,0.00133019102571576,"1295/84570/9509/1277",4
"7","Stellate cells-NML","R-HSA-211981","Xenobiotics","3/33","25/10891",5.57081410639825e-05,0.00169511914951832,0.00135710057930303,"1577/1576/1555",3
"8","Stellate cells-NML","R-HSA-3781865","Diseases of glycosylation","5/33","143/10891",6.42205716580196e-05,0.00170987272039477,0.001368912185342,"92949/11093/9509/9719/56667",5
"9","Stellate cells-NML","R-HSA-1474290","Collagen formation","4/33","90/10891",0.000148563142205648,0.00351599436553366,0.00281488058915964,"1295/84570/9509/1277",4
"10","Stellate cells-NML","R-HSA-1474244","Extracellular matrix organization","6/33","300/10891",0.000245667401596633,0.00523271565400828,0.00418927569038469,"1295/3680/84570/9509/8038/1277",6
"11","Stellate cells-NML","R-HSA-211945","Phase I - Functionalization of compounds","4/33","106/10891",0.000279151833671472,0.00540539459745669,0.0043275212492611,"9971/1577/1576/1555",4
"12","Stellate cells-NML","R-HSA-8948216","Collagen chain trimerization","3/33","44/10891",0.000308443453114464,0.00547487129278173,0.00438314380741606,"1295/84570/1277",3
"13","Stellate cells-NML","R-HSA-399997","Acetylcholine regulates insulin secretion","2/33","10/10891",0.000394624752587156,0.00646577479238955,0.00517645424446309,"23236/9630",2
"14","Stellate cells-NML","R-HSA-400451","Free fatty acids regulate insulin secretion","2/33","11/10891",0.000481404970144503,0.00732423276005566,0.00586372971153455,"23236/9630",2
"15","Stellate cells-NML","R-HSA-166786","Creation of C4 and C2 activators","2/33","14/10891",0.000791987505796776,0.0112296738051632,0.00899039859864809,"5648/10584",2
"16","Stellate cells-NML","R-HSA-5668914","Diseases of metabolism","5/33","249/10891",0.000843543572218833,0.0112296738051632,0.00899039859864809,"92949/11093/9509/9719/56667",5
"17","Stellate cells-NML","R-HSA-1442490","Collagen degradation","3/33","64/10891",0.000931130363260143,0.0116665157279065,0.00934013119802744,"1295/84570/1277",3
"18","Stellate cells-NML","R-HSA-159418","Recycling of bile acids and salts","2/33","18/10891",0.00132152612319078,0.0156380591244242,0.0125197211670705,"9971/8647",2
"19","Stellate cells-NML","R-HSA-3000480","Scavenging by Class A Receptors","2/33","19/10891",0.00147420415587372,0.0157002742600552,0.0125695301711339,"5648/1277",2
"20","Stellate cells-NML","R-HSA-5423646","Aflatoxin activation and detoxification","2/33","19/10891",0.00147420415587372,0.0157002742600552,0.0125695301711339,"1577/1576",2
"21","Stellate cells-NML","R-HSA-216083","Integrin cell surface interactions","3/33","85/10891",0.00211397497653499,0.0209579682491942,0.0167788033425721,"1295/3680/1277",3
"22","Stellate cells-NML","R-HSA-166663","Initial triggering of complement","2/33","23/10891",0.00216467277691207,0.0209579682491942,0.0167788033425721,"5648/10584",2
"23","Stellate cells-NML","R-HSA-193368","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","2/33","24/10891",0.00235699534392219,0.0218278264458882,0.017475205753565,"9971/8647",2
"24","Stellate cells-NML","R-HSA-211859","Biological oxidations","4/33","222/10891",0.00432439991922588,0.0383790492831297,0.0307259994260786,"9971/1577/1576/1555",4
"25","Stellate cells-NML","R-HSA-192105","Synthesis of bile acids and bile salts","2/33","34/10891",0.0047010993542091,0.0400533664978615,0.0320664461213421,"9971/8647",2
