"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 1","R-HSA-9749641","Aspirin ADME","5/37","44/10891",3.37217778347612e-07,3.40619302693001e-05,2.54756819188671e-05,"1557/348158/1244/123876/1559",5
"2","Liver epithelial cells 1","R-HSA-211859","Biological oxidations","8/37","222/10891",6.09603606250894e-07,3.40619302693001e-05,2.54756819188671e-05,"1557/348158/1562/4143/4051/123876/1559/1555",8
"3","Liver epithelial cells 1","R-HSA-9748784","Drug ADME","6/37","99/10891",8.96366586034214e-07,3.40619302693001e-05,2.54756819188671e-05,"1557/348158/10599/1244/123876/1559",6
"4","Liver epithelial cells 1","R-HSA-211981","Xenobiotics","4/37","25/10891",1.35510542377951e-06,3.8620504577716e-05,2.88851419279316e-05,"1557/1562/1559/1555",4
"5","Liver epithelial cells 1","R-HSA-211897","Cytochrome P450 - arranged by substrate type","5/37","66/10891",2.62919988919353e-06,5.99457574736126e-05,4.48347770578266e-05,"1557/1562/4051/1559/1555",5
"6","Liver epithelial cells 1","R-HSA-211999","CYP2E1 reactions","3/37","11/10891",5.84559031435124e-06,0.000111066215972674,8.30689149934123e-05,"1557/1559/1555",3
"7","Liver epithelial cells 1","R-HSA-211945","Phase I - Functionalization of compounds","5/37","106/10891",2.70265925833586e-05,0.000440147364928983,0.000329196090113089,"1557/1562/4051/1559/1555",5
"8","Liver epithelial cells 1","R-HSA-2142753","Arachidonic acid metabolism","3/37","59/10891",0.0010294381197661,0.0130739328406108,0.00977828772012439,"1557/4051/1559",3
"9","Liver epithelial cells 1","R-HSA-189483","Heme degradation","2/37","15/10891",0.00114683621408866,0.0130739328406108,0.00977828772012439,"10599/1244",2
"10","Liver epithelial cells 1","R-HSA-211935","Fatty acids","2/37","15/10891",0.00114683621408866,0.0130739328406108,0.00977828772012439,"4051/1555",2
"11","Liver epithelial cells 1","R-HSA-189445","Metabolism of porphyrins","2/37","27/10891",0.00373664180567068,0.0387251968951325,0.0289634436611794,"10599/1244",2
