"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Cholangiocyte cells-FLC","R-HSA-6802952","Signaling by BRAF and RAF1 fusions","5/66","67/10891",5.06404983384243e-05,0.00633899113801104,0.00538942566389603,"2243/2266/4000/2244/57670",5
"2","Cholangiocyte cells-FLC","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","4/66","39/10891",8.62613875716636e-05,0.00633899113801104,0.00538942566389603,"2243/2266/2152/2244",4
"3","Cholangiocyte cells-FLC","R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins ","3/66","15/10891",9.18178084762305e-05,0.00633899113801104,0.00538942566389603,"2243/2266/2244",3
"4","Cholangiocyte cells-FLC","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","3/66","15/10891",9.18178084762305e-05,0.00633899113801104,0.00538942566389603,"2243/2266/2244",3
"5","Cholangiocyte cells-FLC","R-HSA-5602498","MyD88 deficiency (TLR2/4)","3/66","17/10891",0.000136037065101285,0.00633899113801104,0.00538942566389603,"2243/2266/2244",3
"6","Cholangiocyte cells-FLC","R-HSA-6802957","Oncogenic MAPK signaling","5/66","84/10891",0.000149549147809587,0.00633899113801104,0.00538942566389603,"2243/2266/4000/2244/57670",5
"7","Cholangiocyte cells-FLC","R-HSA-216083","Integrin cell surface interactions","5/66","85/10891",0.000158157631381095,0.00633899113801104,0.00538942566389603,"3655/2243/2266/3673/2244",5
"8","Cholangiocyte cells-FLC","R-HSA-5603041","IRAK4 deficiency (TLR2/4)","3/66","18/10891",0.000162538234307975,0.00633899113801104,0.00538942566389603,"2243/2266/2244",3
"9","Cholangiocyte cells-FLC","R-HSA-5686938","Regulation of TLR by endogenous ligand","3/66","21/10891",0.000261499379575345,0.00906531182527864,0.00770735013485228,"2243/2266/2244",3
"10","Cholangiocyte cells-FLC","R-HSA-140875","Common Pathway of Fibrin Clot Formation","3/66","22/10891",0.000301479974113546,0.00940617519234265,0.00799715299753828,"2243/2266/2244",3
"11","Cholangiocyte cells-FLC","R-HSA-1474244","Extracellular matrix organization","8/66","300/10891",0.000432700931513556,0.0122729718756572,0.0104345105015709,"4684/3655/5339/2243/2266/824/3673/2244",8
"12","Cholangiocyte cells-FLC","R-HSA-354192","Integrin signaling","3/66","27/10891",0.000560355484046786,0.0145692425852164,0.0123868054368237,"2243/2266/2244",3
"13","Cholangiocyte cells-FLC","R-HSA-5260271","Diseases of Immune System","3/66","31/10891",0.000846360041498965,0.0188617380676912,0.0160362955231383,"2243/2266/2244",3
"14","Cholangiocyte cells-FLC","R-HSA-5602358","Diseases associated with the TLR signaling cascade","3/66","31/10891",0.000846360041498965,0.0188617380676912,0.0160362955231383,"2243/2266/2244",3
"15","Cholangiocyte cells-FLC","R-HSA-6802948","Signaling by high-kinase activity BRAF mutants","3/66","36/10891",0.00131565791356683,0.0273656846021901,0.0232663715241292,"2243/2266/2244",3
"16","Cholangiocyte cells-FLC","R-HSA-76009","Platelet Aggregation (Plug Formation)","3/66","39/10891",0.00166234147596876,0.0324156587813908,0.0275598718384294,"2243/2266/2244",3
"17","Cholangiocyte cells-FLC","R-HSA-5674135","MAP2K and MAPK activation","3/66","40/10891",0.00178938988209429,0.0328405672478481,0.0279211300487778,"2243/2266/2244",3
"18","Cholangiocyte cells-FLC","R-HSA-446107","Type I hemidesmosome assembly","2/66","11/10891",0.0019204587311994,0.0332879513407896,0.0283014970913596,"3655/5339",2
"19","Cholangiocyte cells-FLC","R-HSA-9656223","Signaling by RAF1 mutants","3/66","43/10891",0.00220638053765612,0.0362310909341427,0.0308037615229553,"2243/2266/2244",3
"20","Cholangiocyte cells-FLC","R-HSA-6802946","Signaling by moderate kinase activity BRAF mutants","3/66","47/10891",0.00284945989042977,0.0386535428614821,0.0328633360360779,"2243/2266/2244",3
"21","Cholangiocyte cells-FLC","R-HSA-6802949","Signaling by RAS mutants","3/66","47/10891",0.00284945989042977,0.0386535428614821,0.0328633360360779,"2243/2266/2244",3
"22","Cholangiocyte cells-FLC","R-HSA-6802955","Paradoxical activation of RAF signaling by kinase inactive BRAF","3/66","47/10891",0.00284945989042977,0.0386535428614821,0.0328633360360779,"2243/2266/2244",3
"23","Cholangiocyte cells-FLC","R-HSA-9649948","Signaling downstream of RAS mutants","3/66","47/10891",0.00284945989042977,0.0386535428614821,0.0328633360360779,"2243/2266/2244",3
"24","Cholangiocyte cells-FLC","R-HSA-5683057","MAPK family signaling cascades","7/66","325/10891",0.00339996998407679,0.0441996097929983,0.0375786156134803,"896/4684/2243/2266/2244/2069/5900",7
