"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 3-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","7/71","112/10891",7.78879648659375e-06,0.00148498914565464,0.00113776562669657,"25873/6218/6192/6156/6222/6224/6727",7
"2","Liver epithelial cells 3-FLC","R-HSA-156902","Peptide chain elongation","6/71","89/10891",2.34983884866519e-05,0.00148498914565464,0.00113776562669657,"25873/6218/6192/6156/6222/6224",6
"3","Liver epithelial cells 3-FLC","R-HSA-192823","Viral mRNA Translation","6/71","89/10891",2.34983884866519e-05,0.00148498914565464,0.00113776562669657,"25873/6218/6192/6156/6222/6224",6
"4","Liver epithelial cells 3-FLC","R-HSA-156842","Eukaryotic Translation Elongation","6/71","93/10891",3.01986177203229e-05,0.00148498914565464,0.00113776562669657,"25873/6218/6192/6156/6222/6224",6
"5","Liver epithelial cells 3-FLC","R-HSA-2408557","Selenocysteine synthesis","6/71","93/10891",3.01986177203229e-05,0.00148498914565464,0.00113776562669657,"25873/6218/6192/6156/6222/6224",6
"6","Liver epithelial cells 3-FLC","R-HSA-72764","Eukaryotic Translation Termination","6/71","93/10891",3.01986177203229e-05,0.00148498914565464,0.00113776562669657,"25873/6218/6192/6156/6222/6224",6
"7","Liver epithelial cells 3-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","6/71","95/10891",3.40817180969918e-05,0.00148498914565464,0.00113776562669657,"25873/6218/6192/6156/6222/6224",6
"8","Liver epithelial cells 3-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","6/71","101/10891",4.81958882621711e-05,0.00163330510221802,0.00125140201101778,"25873/6218/6192/6156/6222/6224",6
"9","Liver epithelial cells 3-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","6/71","101/10891",4.81958882621711e-05,0.00163330510221802,0.00125140201101778,"25873/6218/6192/6156/6222/6224",6
"10","Liver epithelial cells 3-FLC","R-HSA-376176","Signaling by ROBO receptors","8/71","218/10891",8.1576263845213e-05,0.00215942290826247,0.00165450176232707,"5063/9423/25873/6218/6192/6156/6222/6224",8
"11","Liver epithelial cells 3-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","6/71","111/10891",8.18142435278797e-05,0.00215942290826247,0.00165450176232707,"25873/6218/6192/6156/6222/6224",6
"12","Liver epithelial cells 3-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","6/71","112/10891",8.60043631717261e-05,0.00215942290826247,0.00165450176232707,"25873/6218/6192/6156/6222/6224",6
"13","Liver epithelial cells 3-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","6/71","115/10891",9.96107884794792e-05,0.00215942290826247,0.00165450176232707,"25873/6218/6192/6156/6222/6224",6
"14","Liver epithelial cells 3-FLC","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","6/71","115/10891",9.96107884794792e-05,0.00215942290826247,0.00165450176232707,"25873/6218/6192/6156/6222/6224",6
"15","Liver epithelial cells 3-FLC","R-HSA-2408522","Selenoamino acid metabolism","6/71","118/10891",0.00011487835148706,0.00215942290826247,0.00165450176232707,"25873/6218/6192/6156/6222/6224",6
"16","Liver epithelial cells 3-FLC","R-HSA-72613","Eukaryotic Translation Initiation","6/71","119/10891",0.000120361276853974,0.00215942290826247,0.00165450176232707,"25873/6218/6192/6156/6222/6224",6
"17","Liver epithelial cells 3-FLC","R-HSA-72737","Cap-dependent Translation Initiation","6/71","119/10891",0.000120361276853974,0.00215942290826247,0.00165450176232707,"25873/6218/6192/6156/6222/6224",6
"18","Liver epithelial cells 3-FLC","R-HSA-71291","Metabolism of amino acids and derivatives","10/71","374/10891",0.000144025396661389,0.00244043033231798,0.00186980339525312,"3081/25873/6218/6192/6156/3242/8942/6222/6224/2875",10
"19","Liver epithelial cells 3-FLC","R-HSA-975634","Retinoid metabolism and transport","4/71","44/10891",0.000184889162625106,0.00296795761056091,0.00227398305278524,"348/10082/5950/337",4
"20","Liver epithelial cells 3-FLC","R-HSA-159418","Recycling of bile acids and salts","3/71","18/10891",0.000201966066210662,0.0030799825097126,0.00235981403677721,"8647/570/28234",3
"21","Liver epithelial cells 3-FLC","R-HSA-8963898","Plasma lipoprotein assembly","3/71","19/10891",0.000238715406038817,0.00332860118519163,0.00255030013153595,"348/337/341",3
"22","Liver epithelial cells 3-FLC","R-HSA-168273","Influenza Viral RNA Transcription and Replication","6/71","135/10891",0.00024009582319415,0.00332860118519163,0.00255030013153595,"25873/6218/6192/6156/6222/6224",6
"23","Liver epithelial cells 3-FLC","R-HSA-6806667","Metabolism of fat-soluble vitamins","4/71","48/10891",0.000259861062503849,0.00344598365494234,0.00264023596685832,"348/10082/5950/337",4
"24","Liver epithelial cells 3-FLC","R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","4/71","50/10891",0.000304562253778512,0.00387047864176859,0.00296547457626446,"6218/6192/6222/6224",4
"25","Liver epithelial cells 3-FLC","R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex","4/71","51/10891",0.000328865579424936,0.00401216006898422,0.00307402773188783,"6218/6192/6222/6224",4
"26","Liver epithelial cells 3-FLC","R-HSA-168255","Influenza Infection","6/71","156/10891",0.000521475399681103,0.00567407612655619,0.00434735082000164,"25873/6218/6192/6156/6222/6224",6
"27","Liver epithelial cells 3-FLC","R-HSA-9711097","Cellular response to starvation","6/71","156/10891",0.000521475399681103,0.00567407612655619,0.00434735082000164,"25873/6218/6192/6156/6222/6224",6
"28","Liver epithelial cells 3-FLC","R-HSA-72649","Translation initiation complex formation","4/71","58/10891",0.000539502320229933,0.00567407612655619,0.00434735082000164,"6218/6192/6222/6224",4
"29","Liver epithelial cells 3-FLC","R-HSA-72702","Ribosomal scanning and start codon recognition","4/71","58/10891",0.000539502320229933,0.00567407612655619,0.00434735082000164,"6218/6192/6222/6224",4
"30","Liver epithelial cells 3-FLC","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","4/71","59/10891",0.000575910695747425,0.00585509207343216,0.00448604120897994,"6218/6192/6222/6224",4
"31","Liver epithelial cells 3-FLC","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","6/71","171/10891",0.000845243880723597,0.00831610914905474,0.00637161770868043,"25873/6218/6192/6156/6222/6224",6
"32","Liver epithelial cells 3-FLC","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","6/71","184/10891",0.00123561705711057,0.0117769750755851,0.00902325614074166,"25873/6218/6192/6156/6222/6224",6
"33","Liver epithelial cells 3-FLC","R-HSA-196854","Metabolism of vitamins and cofactors","6/71","190/10891",0.00145667995432472,0.0134632541233042,0.0103152456095722,"348/10082/10243/5950/3141/337",6
"34","Liver epithelial cells 3-FLC","R-HSA-8868773","rRNA processing in the nucleus and cytosol","6/71","194/10891",0.00162004165842843,0.0145327266417844,0.0111346516461644,"25873/6218/6192/6156/6222/6224",6
"35","Liver epithelial cells 3-FLC","R-HSA-8963888","Chylomicron assembly","2/71","10/10891",0.0018230090243837,0.0154449375676953,0.0118335673512626,"348/337",2
"36","Liver epithelial cells 3-FLC","R-HSA-8963901","Chylomicron remodeling","2/71","10/10891",0.0018230090243837,0.0154449375676953,0.0118335673512626,"348/337",2
"37","Liver epithelial cells 3-FLC","R-HSA-8939243","RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known","3/71","38/10891",0.00190191088925012,0.0156779140870618,0.0120120687742113,"26053/22955/28996",3
"38","Liver epithelial cells 3-FLC","R-HSA-72312","rRNA processing","6/71","204/10891",0.00208960366940427,0.0167718189254817,0.0128501943104639,"25873/6218/6192/6156/6222/6224",6
"39","Liver epithelial cells 3-FLC","R-HSA-8963691","Phenylalanine and tyrosine metabolism","2/71","11/10891",0.00221874447473272,0.0173517196100892,0.0132945013060908,"3081/3242",2
"40","Liver epithelial cells 3-FLC","R-HSA-72766","Translation","7/71","291/10891",0.00278967702513351,0.021271287316643,0.0162975868310431,"25873/6218/6192/6156/6222/6224/6727",7
"41","Liver epithelial cells 3-FLC","R-HSA-194068","Bile acid and bile salt metabolism","3/71","45/10891",0.00309669033731203,0.0230363549482968,0.0176499423590057,"8647/570/28234",3
"42","Liver epithelial cells 3-FLC","R-HSA-1793185","Chondroitin sulfate/dermatan sulfate metabolism","3/71","50/10891",0.00417915568514456,0.0303486305706927,0.023252445165466,"1462/10082/55790",3
"43","Liver epithelial cells 3-FLC","R-HSA-611105","Respiratory electron transport","4/71","103/10891",0.00451315755634613,0.0320119315043156,0.0245268293147819,"1327/4697/1345/27089",4
"44","Liver epithelial cells 3-FLC","R-HSA-2187338","Visual phototransduction","4/71","105/10891",0.00483233011693253,0.0334968337651005,0.0256645283722254,"348/10082/5950/337",4
"45","Liver epithelial cells 3-FLC","R-HSA-2022870","Chondroitin sulfate biosynthesis","2/71","20/10891",0.00737992008327692,0.0468932421958221,0.0359285583001639,"1462/55790",2
"46","Liver epithelial cells 3-FLC","R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type","2/71","20/10891",0.00737992008327692,0.0468932421958221,0.0359285583001639,"1462/10082",2
"47","Liver epithelial cells 3-FLC","R-HSA-3560801","Defective B3GAT3 causes JDSSDHD","2/71","20/10891",0.00737992008327692,0.0468932421958221,0.0359285583001639,"1462/10082",2
"48","Liver epithelial cells 3-FLC","R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1","2/71","20/10891",0.00737992008327692,0.0468932421958221,0.0359285583001639,"1462/10082",2
