"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Endothelial cells-FLC","R-HSA-156902","Peptide chain elongation","20/76","89/10891",1.38127991958515e-25,4.19909095553885e-23,3.1260545548506e-23,"6176/6222/6137/6187/6170/6171/1915/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",20
"2","Endothelial cells-FLC","R-HSA-156842","Eukaryotic Translation Elongation","20/76","93/10891",3.6327430132675e-25,5.5217693801666e-23,4.11073551501323e-23,"6176/6222/6137/6187/6170/6171/1915/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",20
"3","Endothelial cells-FLC","R-HSA-192823","Viral mRNA Translation","19/76","89/10891",7.45112947359492e-24,7.55047786657619e-22,5.62102749762424e-22,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"4","Endothelial cells-FLC","R-HSA-2408557","Selenocysteine synthesis","19/76","93/10891",1.85315044045617e-23,1.12671546779735e-21,8.38794409890688e-22,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"5","Endothelial cells-FLC","R-HSA-72764","Eukaryotic Translation Termination","19/76","93/10891",1.85315044045617e-23,1.12671546779735e-21,8.38794409890688e-22,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"6","Endothelial cells-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","19/76","95/10891",2.87425936923211e-23,1.45629141374427e-21,1.08415046383316e-21,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"7","Endothelial cells-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","19/76","101/10891",1.00939787717704e-22,3.83571193327277e-21,2.8555334683298e-21,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"8","Endothelial cells-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","19/76","101/10891",1.00939787717704e-22,3.83571193327277e-21,2.8555334683298e-21,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"9","Endothelial cells-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","19/76","111/10891",6.86140882602893e-22,2.27219574243052e-20,1.69155846475956e-20,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"10","Endothelial cells-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","19/76","112/10891",8.22176091011043e-22,2.27219574243052e-20,1.69155846475956e-20,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"11","Endothelial cells-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","19/76","112/10891",8.22176091011043e-22,2.27219574243052e-20,1.69155846475956e-20,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"12","Endothelial cells-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","19/76","115/10891",1.39949619088303e-21,3.2726680156034e-20,2.43636988696236e-20,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
