"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 5-FLC","R-HSA-211981","Xenobiotics","5/79","25/10891",8.37884006662908e-07,0.000511947128071037,0.000448929430938337,"1576/1577/1548/1555/1558",5
"2","Liver epithelial cells 5-FLC","R-HSA-211999","CYP2E1 reactions","3/79","11/10891",5.81291674020152e-05,0.0177584606413157,0.0155724980040136,"1548/1555/1558",3
"3","Liver epithelial cells 5-FLC","R-HSA-211897","Cytochrome P450 - arranged by substrate type","5/79","66/10891",0.000111748250381955,0.0227593936611249,0.0199578454190931,"1576/1577/1548/1555/1558",5
"4","Liver epithelial cells 5-FLC","R-HSA-416476","G alpha (q) signalling events","8/79","216/10891",0.000163737407579632,0.0250108890077889,0.0219321948573771,"4922/183/6288/5997/148/3709/6196/5581",8
"5","Liver epithelial cells 5-FLC","R-HSA-9749641","Aspirin ADME","4/79","44/10891",0.00027927514755961,0.0315318162451891,0.027650434092172,"1576/10720/1558/123876",4
"6","Liver epithelial cells 5-FLC","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","6/79","127/10891",0.000309641403389746,0.0315318162451891,0.027650434092172,"4694/27089/1327/1345/4697/506",6
"7","Liver epithelial cells 5-FLC","R-HSA-1227986","Signaling by ERBB2","4/79","50/10891",0.000458439507064664,0.0391199938325154,0.0343045514010688,"2069/7314/3084/5581",4
"8","Liver epithelial cells 5-FLC","R-HSA-1250196","SHC1 events in ERBB2 signaling","3/79","22/10891",0.000512209411882362,0.0391199938325154,0.0343045514010688,"2069/3084/5581",3
"9","Liver epithelial cells 5-NML","R-HSA-156902","Peptide chain elongation","14/76","89/10891",9.34834797929628e-16,1.28137701471885e-13,1.08634523580716e-13,"6234/6167/6209/6228/6208/6217/25873/6169/6205/6132/6143/6158/6128/6129",14
"10","Liver epithelial cells 5-NML","R-HSA-192823","Viral mRNA Translation","14/76","89/10891",9.34834797929628e-16,1.28137701471885e-13,1.08634523580716e-13,"6234/6167/6209/6228/6208/6217/25873/6169/6205/6132/6143/6158/6128/6129",14
"11","Liver epithelial cells 5-NML","R-HSA-156842","Eukaryotic Translation Elongation","14/76","93/10891",1.77808674300546e-15,1.28137701471885e-13,1.08634523580716e-13,"6234/6167/6209/6228/6208/6217/25873/6169/6205/6132/6143/6158/6128/6129",14
"12","Liver epithelial cells 5-NML","R-HSA-2408557","Selenocysteine synthesis","14/76","93/10891",1.77808674300546e-15,1.28137701471885e-13,1.08634523580716e-13,"6234/6167/6209/6228/6208/6217/25873/6169/6205/6132/6143/6158/6128/6129",14
"13","Liver epithelial cells 5-NML","R-HSA-72764","Eukaryotic Translation Termination","14/76","93/10891",1.77808674300546e-15,1.28137701471885e-13,1.08634523580716e-13,"6234/6167/6209/6228/6208/6217/25873/6169/6205/6132/6143/6158/6128/6129",14
"14","Liver epithelial cells 5-NML","R-HSA-2408522","Selenoamino acid metabolism","15/76","118/10891",2.18714211989731e-15,1.28137701471885e-13,1.08634523580716e-13,"6234/6167/6209/6228/6208/1491/6217/25873/6169/6205/6132/6143/6158/6128/6129",15
"15","Liver epithelial cells 5-NML","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","14/76","95/10891",2.42422678460324e-15,1.28137701471885e-13,1.08634523580716e-13,"6234/6167/6209/6228/6208/6217/25873/6169/6205/6132/6143/6158/6128/6129",14
"16","Liver epithelial cells 5-NML","R-HSA-72689","Formation of a pool of free 40S subunits","14/76","101/10891",5.89140829657457e-15,2.42202341081399e-13,2.05337973377687e-13,"6234/6167/6209/6228/6208/6217/25873/6169/6205/6132/6143/6158/6128/6129",14
