"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Lymphocytes-FLC","R-HSA-156902","Peptide chain elongation","18/81","89/10891",1.30735880211791e-21,3.17159095234498e-19,2.82321206543542e-19,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"2","Lymphocytes-FLC","R-HSA-192823","Viral mRNA Translation","18/81","89/10891",1.30735880211791e-21,3.17159095234498e-19,2.82321206543542e-19,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"3","Lymphocytes-FLC","R-HSA-156842","Eukaryotic Translation Elongation","18/81","93/10891",3.0717726270359e-21,3.17159095234498e-19,2.82321206543542e-19,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"4","Lymphocytes-FLC","R-HSA-2408557","Selenocysteine synthesis","18/81","93/10891",3.0717726270359e-21,3.17159095234498e-19,2.82321206543542e-19,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"5","Lymphocytes-FLC","R-HSA-72764","Eukaryotic Translation Termination","18/81","93/10891",3.0717726270359e-21,3.17159095234498e-19,2.82321206543542e-19,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"6","Lymphocytes-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","19/81","112/10891",3.12472015009358e-21,3.17159095234498e-19,2.82321206543542e-19,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6727/6141",19
"7","Lymphocytes-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","18/81","95/10891",4.63584747221493e-21,4.03318730082699e-19,3.5901675912642e-19,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"8","Lymphocytes-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","18/81","101/10891",1.50570799622188e-20,1.01886241077681e-18,9.06946921700899e-19,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"9","Lymphocytes-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","18/81","101/10891",1.50570799622188e-20,1.01886241077681e-18,9.06946921700899e-19,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"10","Lymphocytes-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","18/81","111/10891",9.08776375959267e-20,5.53444812959194e-18,4.92652456441076e-18,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"11","Lymphocytes-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","18/81","112/10891",1.07681387745128e-19,5.96163319425301e-18,5.30678609461637e-18,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"12","Lymphocytes-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","18/81","115/10891",1.77351354344211e-19,8.30822883043267e-18,7.39562327832137e-18,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"13","Lymphocytes-FLC","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","18/81","115/10891",1.77351354344211e-19,8.30822883043267e-18,7.39562327832137e-18,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"14","Lymphocytes-FLC","R-HSA-2408522","Selenoamino acid metabolism","18/81","118/10891",2.87923324035547e-19,1.25246645955463e-17,1.11489106675419e-17,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
"15","Lymphocytes-FLC","R-HSA-72613","Eukaryotic Translation Initiation","18/81","119/10891",3.37360843259354e-19,1.28407970965592e-17,1.14303180446426e-17,"6222/6128/6223/6187/6156/6167/6208/6130/6136/6143/6161/6134/6122/6224/6157/6233/6210/6141",18
