"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Neutrophils and macrophages-FLC","R-HSA-156902","Peptide chain elongation","23/83","89/10891",5.62788485343554e-30,2.40873471727041e-27,2.05565899383382e-27,"6222/6171/1915/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",23
"2","Neutrophils and macrophages-FLC","R-HSA-156842","Eukaryotic Translation Elongation","23/83","93/10891",1.75430125847961e-29,3.75420469314637e-27,3.20390808785487e-27,"6222/6171/1915/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",23
"3","Neutrophils and macrophages-FLC","R-HSA-192823","Viral mRNA Translation","22/83","89/10891",3.40623366131368e-28,4.85956002347419e-26,4.14723887886263e-26,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"4","Neutrophils and macrophages-FLC","R-HSA-2408557","Selenocysteine synthesis","22/83","93/10891",1.00164484092342e-27,8.57407983830446e-26,7.31727915369318e-26,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"5","Neutrophils and macrophages-FLC","R-HSA-72764","Eukaryotic Translation Termination","22/83","93/10891",1.00164484092342e-27,8.57407983830446e-26,7.31727915369318e-26,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"6","Neutrophils and macrophages-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","22/83","95/10891",1.68348122453278e-27,1.20088327350005e-25,1.02485611388224e-25,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"7","Neutrophils and macrophages-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","22/83","101/10891",7.43028948000015e-27,3.97520487180008e-25,3.39251374942112e-25,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"8","Neutrophils and macrophages-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","22/83","101/10891",7.43028948000015e-27,3.97520487180008e-25,3.39251374942112e-25,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"9","Neutrophils and macrophages-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","22/83","111/10891",7.13404450015074e-26,3.39263449562724e-24,2.89533735854071e-24,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"10","Neutrophils and macrophages-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","22/83","112/10891",8.82993118501004e-26,3.43564595198572e-24,2.93204413511817e-24,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"11","Neutrophils and macrophages-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","22/83","112/10891",8.82993118501004e-26,3.43564595198572e-24,2.93204413511817e-24,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"12","Neutrophils and macrophages-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","22/83","115/10891",1.65296309550879e-25,5.44206311444431e-24,4.64435784729999e-24,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"13","Neutrophils and macrophages-FLC","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","22/83","115/10891",1.65296309550879e-25,5.44206311444431e-24,4.64435784729999e-24,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"14","Neutrophils and macrophages-FLC","R-HSA-2408522","Selenoamino acid metabolism","22/83","118/10891",3.03809632798837e-25,9.28789448842158e-24,7.92646184821025e-24,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"15","Neutrophils and macrophages-FLC","R-HSA-72613","Eukaryotic Translation Initiation","22/83","119/10891",3.70699048165973e-25,9.91619953843979e-24,8.46266906010479e-24,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"16","Neutrophils and macrophages-FLC","R-HSA-72737","Cap-dependent Translation Initiation","22/83","119/10891",3.70699048165973e-25,9.91619953843979e-24,8.46266906010479e-24,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"17","Neutrophils and macrophages-FLC","R-HSA-168273","Influenza Viral RNA Transcription and Replication","22/83","135/10891",7.07184908357215e-24,1.78044200456993e-22,1.51946231083563e-22,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"18","Neutrophils and macrophages-FLC","R-HSA-168255","Influenza Infection","22/83","156/10891",1.96138748875234e-22,4.41828339571579e-21,3.77064519998372e-21,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"19","Neutrophils and macrophages-FLC","R-HSA-9711097","Cellular response to starvation","22/83","156/10891",1.96138748875234e-22,4.41828339571579e-21,3.77064519998372e-21,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"20","Neutrophils and macrophages-FLC","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","22/83","171/10891",1.57107868443087e-21,3.36210838468206e-20,2.86928580788164e-20,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"21","Neutrophils and macrophages-FLC","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","22/83","184/10891",8.14057111861599e-21,1.65912592322269e-19,1.41592891135827e-19,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"22","Neutrophils and macrophages-FLC","R-HSA-376176","Signaling by ROBO receptors","23/83","218/10891",1.69993393222856e-20,3.30714419542648e-19,2.8223783468101e-19,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218/51466",23
"23","Neutrophils and macrophages-FLC","R-HSA-8868773","rRNA processing in the nucleus and cytosol","22/83","194/10891",2.64883932033809e-20,4.92914447436827e-19,4.20662354305408e-19,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"24","Neutrophils and macrophages-FLC","R-HSA-72312","rRNA processing","22/83","204/10891",8.07082773795558e-20,1.43929761326874e-18,1.2283233443292e-18,"6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",22
"25","Neutrophils and macrophages-FLC","R-HSA-72766","Translation","23/83","291/10891",1.19890621604391e-17,2.05252744186718e-16,1.75166508196732e-16,"6222/6171/1915/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",23
"26","Neutrophils and macrophages-FLC","R-HSA-71291","Metabolism of amino acids and derivatives","23/83","374/10891",3.00035248555564e-15,4.93904178391467e-14,4.21507009104375e-14,"3242/6222/6171/6187/6156/6234/6167/6217/6136/23521/6143/6228/25873/6129/6122/6165/6157/6132/6232/6229/6224/11224/6218",23
"27","Neutrophils and macrophages-FLC","R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","9/83","50/10891",1.08120256818118e-10,1.71390629326498e-09,1.4626794976954e-09,"6222/6187/6234/6217/6228/6232/6229/6224/6218",9
"28","Neutrophils and macrophages-FLC","R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex","9/83","51/10891",1.30484715888887e-10,1.99455208573014e-09,1.70218783509188e-09,"6222/6187/6234/6217/6228/6232/6229/6224/6218",9
"29","Neutrophils and macrophages-FLC","R-HSA-72649","Translation initiation complex formation","9/83","58/10891",4.37501960691306e-10,6.24169463919596e-09,5.32677825824151e-09,"6222/6187/6234/6217/6228/6232/6229/6224/6218",9
"30","Neutrophils and macrophages-FLC","R-HSA-72702","Ribosomal scanning and start codon recognition","9/83","58/10891",4.37501960691306e-10,6.24169463919596e-09,5.32677825824151e-09,"6222/6187/6234/6217/6228/6232/6229/6224/6218",9
"31","Neutrophils and macrophages-FLC","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","9/83","59/10891",5.13089722882931e-10,7.0839484320611e-09,6.04557330527596e-09,"6222/6187/6234/6217/6228/6232/6229/6224/6218",9
"32","Neutrophils and macrophages-FLC","R-HSA-9705683","SARS-CoV-2-host interactions","10/83","202/10891",2.88929370253579e-06,3.86443032714162e-05,3.297976693355e-05,"6222/6187/567/6234/6217/6228/6232/6229/6224/6218",10
"33","Neutrophils and macrophages-FLC","R-HSA-9694516","SARS-CoV-2 Infection","11/83","288/10891",1.08622702986973e-05,0.000140880354177044,0.000120229913672982,"6222/6187/567/6234/6217/6228/11320/6232/6229/6224/6218",11
"34","Neutrophils and macrophages-FLC","R-HSA-9679506","SARS-CoV Infections","11/83","376/10891",0.000124277399787006,0.00156443315025995,0.00133511633826907,"6222/6187/567/6234/6217/6228/11320/6232/6229/6224/6218",11
"35","Neutrophils and macrophages-FLC","R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins ","3/83","15/10891",0.000181783170560412,0.00216119991666268,0.00184440819252816,"2266/2243/5747",3
"36","Neutrophils and macrophages-FLC","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","3/83","15/10891",0.000181783170560412,0.00216119991666268,0.00184440819252816,"2266/2243/5747",3
"37","Neutrophils and macrophages-FLC","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","6/83","134/10891",0.000538861957882901,0.00623332210740221,0.00531963298393646,"10859/567/10990/10666/6614/81035",6
"38","Neutrophils and macrophages-FLC","R-HSA-76002","Platelet activation, signaling and aggregation","8/83","263/10891",0.000857678796745637,0.00966017171071401,0.00824417015154393,"5579/2266/4067/87/2243/5747/54331/197",8
"39","Neutrophils and macrophages-FLC","R-HSA-354192","Integrin signaling","3/83","27/10891",0.00109401154566485,0.0120060754242194,0.0102462079985345,"2266/2243/5747",3
"40","Neutrophils and macrophages-FLC","R-HSA-8957275","Post-translational protein phosphorylation","5/83","108/10891",0.00137345128079596,0.0146959287045168,0.0125417788009526,"348/2266/2243/11320/197",5
"41","Neutrophils and macrophages-FLC","R-HSA-977225","Amyloid fiber formation","5/83","111/10891",0.00155135583640086,0.0161946414141358,0.0138208080932246,"348/567/2243/6288/337",5
"42","Neutrophils and macrophages-FLC","R-HSA-8963888","Chylomicron assembly","2/83","10/10891",0.00248181756052122,0.0247027422303042,0.0210817795226649,"348/337",2
"43","Neutrophils and macrophages-FLC","R-HSA-8963901","Chylomicron remodeling","2/83","10/10891",0.00248181756052122,0.0247027422303042,0.0210817795226649,"348/337",2
"44","Neutrophils and macrophages-FLC","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","5/83","125/10891",0.00261322370641599,0.0254195396896828,0.0216935078020657,"348/2266/2243/11320/197",5
"45","Neutrophils and macrophages-FLC","R-HSA-5661231","Metallothioneins bind metals","2/83","11/10891",0.00301835691763559,0.0287079280166229,0.0244998795419777,"4502/4493",2
"46","Neutrophils and macrophages-FLC","R-HSA-76009","Platelet Aggregation (Plug Formation)","3/83","39/10891",0.00320077911503197,0.0297811622007322,0.0254157975495673,"2266/2243/5747",3
