"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Stellate cells-FLC","R-HSA-156902","Peptide chain elongation","8/67","89/10891",6.35903203139761e-08,1.47500746228352e-05,1.14081129143238e-05,"1915/6234/6171/6209/6132/25873/6143/6218",8
"2","Stellate cells-FLC","R-HSA-156842","Eukaryotic Translation Elongation","8/67","93/10891",8.9939479407532e-08,1.47500746228352e-05,1.14081129143238e-05,"1915/6234/6171/6209/6132/25873/6143/6218",8
"3","Stellate cells-FLC","R-HSA-192823","Viral mRNA Translation","7/67","89/10891",1.11985763044949e-06,9.53705313007385e-05,7.37621888429974e-05,"6234/6171/6209/6132/25873/6143/6218",7
"4","Stellate cells-FLC","R-HSA-2408557","Selenocysteine synthesis","7/67","93/10891",1.51022714085743e-06,9.53705313007385e-05,7.37621888429974e-05,"6234/6171/6209/6132/25873/6143/6218",7
"5","Stellate cells-FLC","R-HSA-72764","Eukaryotic Translation Termination","7/67","93/10891",1.51022714085743e-06,9.53705313007385e-05,7.37621888429974e-05,"6234/6171/6209/6132/25873/6143/6218",7
"6","Stellate cells-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","7/67","95/10891",1.74458288964766e-06,9.53705313007385e-05,7.37621888429974e-05,"6234/6171/6209/6132/25873/6143/6218",7
"7","Stellate cells-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","7/67","101/10891",2.63781453768056e-06,0.000108150396044903,8.36464873132916e-05,"6234/6171/6209/6132/25873/6143/6218",7
"8","Stellate cells-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","7/67","101/10891",2.63781453768056e-06,0.000108150396044903,8.36464873132916e-05,"6234/6171/6209/6132/25873/6143/6218",7
"9","Stellate cells-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","7/67","111/10891",4.9629492680462e-06,0.00015709044215732,0.000121498063414358,"6234/6171/6209/6132/25873/6143/6218",7
"10","Stellate cells-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","7/67","112/10891",5.26827702356864e-06,0.00015709044215732,0.000121498063414358,"6234/6171/6209/6132/25873/6143/6218",7
"11","Stellate cells-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","7/67","112/10891",5.26827702356864e-06,0.00015709044215732,0.000121498063414358,"6234/6171/6209/6132/25873/6143/6218",7
"12","Stellate cells-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","7/67","115/10891",6.27966583084749e-06,0.00015844079942446,0.000122542466820587,"6234/6171/6209/6132/25873/6143/6218",7
"13","Stellate cells-FLC","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","7/67","115/10891",6.27966583084749e-06,0.00015844079942446,0.000122542466820587,"6234/6171/6209/6132/25873/6143/6218",7
"14","Stellate cells-FLC","R-HSA-2408522","Selenoamino acid metabolism","7/67","118/10891",7.4476716085815e-06,0.000161437133402221,0.000124859913831628,"6234/6171/6209/6132/25873/6143/6218",7
"15","Stellate cells-FLC","R-HSA-72613","Eukaryotic Translation Initiation","7/67","119/10891",7.87498211718151e-06,0.000161437133402221,0.000124859913831628,"6234/6171/6209/6132/25873/6143/6218",7
"16","Stellate cells-FLC","R-HSA-72737","Cap-dependent Translation Initiation","7/67","119/10891",7.87498211718151e-06,0.000161437133402221,0.000124859913831628,"6234/6171/6209/6132/25873/6143/6218",7
"17","Stellate cells-FLC","R-HSA-168273","Influenza Viral RNA Transcription and Replication","7/67","135/10891",1.80122395873154e-05,0.000347530269684673,0.000268789457618762,"6234/6171/6209/6132/25873/6143/6218",7
"18","Stellate cells-FLC","R-HSA-168255","Influenza Infection","7/67","156/10891",4.57498919205105e-05,0.000789787607890919,0.000610843432290473,"6234/6171/6209/6132/25873/6143/6218",7
"19","Stellate cells-FLC","R-HSA-9711097","Cellular response to starvation","7/67","156/10891",4.57498919205105e-05,0.000789787607890919,0.000610843432290473,"6234/6171/6209/6132/25873/6143/6218",7
"20","Stellate cells-FLC","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","7/67","171/10891",8.1897761341757e-05,0.00132927652436629,0.00102809898065557,"6234/6171/6209/6132/25873/6143/6218",7
"21","Stellate cells-FLC","R-HSA-1474244","Extracellular matrix organization","9/67","300/10891",8.51061189380857e-05,0.00132927652436629,0.00102809898065557,"1462/1295/8038/1277/1293/4060/1306/4684/7276",9
"22","Stellate cells-FLC","R-HSA-3000178","ECM proteoglycans","5/67","76/10891",9.9842386972621e-05,0.00148855922395544,0.00115129259619147,"1462/1277/1293/4060/4684",5
"23","Stellate cells-FLC","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","7/67","184/10891",0.000129599104455657,0.0018481959244111,0.00142944549994569,"6234/6171/6209/6132/25873/6143/6218",7
"24","Stellate cells-FLC","R-HSA-8948216","Collagen chain trimerization","4/67","44/10891",0.000147572756932082,0.00193615457094891,0.00149747513350028,"1295/1277/1293/1306",4
"25","Stellate cells-FLC","R-HSA-9749641","Aspirin ADME","4/67","44/10891",0.000147572756932082,0.00193615457094891,0.00149747513350028,"123876/1559/1244/1558",4
"26","Stellate cells-FLC","R-HSA-8868773","rRNA processing in the nucleus and cytosol","7/67","194/10891",0.000179936381770075,0.00226996666233017,0.00175565457516551,"6234/6171/6209/6132/25873/6143/6218",7
"27","Stellate cells-FLC","R-HSA-72312","rRNA processing","7/67","204/10891",0.000245070634860276,0.00297715437904335,0.00230261298250785,"6234/6171/6209/6132/25873/6143/6218",7
"28","Stellate cells-FLC","R-HSA-9748784","Drug ADME","5/67","99/10891",0.000346667577730349,0.00406096305341266,0.00314086038469978,"123876/28234/1559/1244/1558",5
"29","Stellate cells-FLC","R-HSA-376176","Signaling by ROBO receptors","7/67","218/10891",0.000366974907108137,0.00415061274246444,0.00321019791698951,"6234/6171/6209/6132/25873/6143/6218",7
"30","Stellate cells-FLC","R-HSA-72766","Translation","8/67","291/10891",0.000391683845979066,0.00428241004937112,0.00331213357477035,"1915/6234/6171/6209/6132/25873/6143/6218",8
"31","Stellate cells-FLC","R-HSA-71291","Metabolism of amino acids and derivatives","9/67","374/10891",0.000442924361409822,0.00468642550136843,0.00362461022410075,"3242/2731/6234/6171/6209/6132/25873/6143/6218",9
"32","Stellate cells-FLC","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","4/67","61/10891",0.000524515776074368,0.00537628670476228,0.00415816783006325,"1295/1277/1293/1306",4
"33","Stellate cells-FLC","R-HSA-1442490","Collagen degradation","4/67","64/10891",0.000629851017160844,0.0060762098126105,0.00469950758934252,"1295/1277/1293/1306",4
"34","Stellate cells-FLC","R-HSA-421270","Cell-cell junction organization","4/67","64/10891",0.000629851017160844,0.0060762098126105,0.00469950758934252,"1009/253559/9076/1000",4
"35","Stellate cells-FLC","R-HSA-211897","Cytochrome P450 - arranged by substrate type","4/67","66/10891",0.000707903119803098,0.00663406352272617,0.00513096697361042,"9971/1545/1559/1558",4
"36","Stellate cells-FLC","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","4/67","67/10891",0.000749391211490933,0.00682778659358406,0.00528079771840102,"1295/1277/1293/1306",4
"37","Stellate cells-FLC","R-HSA-418990","Adherens junctions interactions","3/67","33/10891",0.00106401199296429,0.00943232253222401,0.00729521736285618,"1009/253559/1000",3
"38","Stellate cells-FLC","R-HSA-216083","Integrin cell surface interactions","4/67","85/10891",0.00182239584900087,0.0157301536440075,0.0121661329531637,"1295/1277/1293/4060",4
"39","Stellate cells-FLC","R-HSA-211999","CYP2E1 reactions","2/67","11/10891",0.00197845905633492,0.0166393479609706,0.0128693288144863,"1559/1558",2
"40","Stellate cells-FLC","R-HSA-1474290","Collagen formation","4/67","90/10891",0.00224759750959597,0.018430299578687,0.0142544999950692,"1295/1277/1293/1306",4
"41","Stellate cells-FLC","R-HSA-446728","Cell junction organization","4/67","91/10891",0.00234017231370418,0.0187213785096335,0.0144796284365265,"1009/253559/9076/1000",4
"42","Stellate cells-FLC","R-HSA-975634","Retinoid metabolism and transport","3/67","44/10891",0.00246123672172403,0.0192210867791781,0.0148661165397366,"5950/337/7276",3
"43","Stellate cells-FLC","R-HSA-6806667","Metabolism of fat-soluble vitamins","3/67","48/10891",0.00315849169486841,0.023064768290569,0.0178389254108701,"5950/337/7276",3
"44","Stellate cells-FLC","R-HSA-2453864","Retinoid cycle disease events","2/67","14/10891",0.00323469311392127,0.023064768290569,0.0178389254108701,"5950/7276",2
"45","Stellate cells-FLC","R-HSA-2474795","Diseases associated with visual transduction","2/67","14/10891",0.00323469311392127,0.023064768290569,0.0178389254108701,"5950/7276",2
"46","Stellate cells-FLC","R-HSA-9675143","Diseases of the neuronal system","2/67","14/10891",0.00323469311392127,0.023064768290569,0.0178389254108701,"5950/7276",2
"47","Stellate cells-FLC","R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","3/67","50/10891",0.00354807518154147,0.0247610353094809,0.019150864921646,"6234/6209/6218",3
"48","Stellate cells-FLC","R-HSA-189483","Heme degradation","2/67","15/10891",0.00371756248136507,0.0251247383356296,0.0194321628333977,"28234/1244",2
"49","Stellate cells-FLC","R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex","3/67","51/10891",0.00375339078794466,0.0251247383356296,0.0194321628333977,"6234/6209/6218",3
"50","Stellate cells-FLC","R-HSA-211945","Phase I - Functionalization of compounds","4/67","106/10891",0.00406067904734722,0.0266380545505977,0.0206026031665406,"9971/1545/1559/1558",4
