"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 1","R-HSA-211981","Xenobiotics","4/48","25/10891",3.9250983993709e-06,0.00099697499344021,0.000822204822605063,"1555/1576/1558/1548",4
"2","Liver epithelial cells 1","R-HSA-211999","CYP2E1 reactions","3/48","11/10891",1.29334973349878e-05,0.00164255416154345,0.00135461366824346,"1555/1558/1548",3
"3","Liver epithelial cells 1","R-HSA-9749641","Aspirin ADME","4/48","44/10891",3.96122410855199e-05,0.00335383641190735,0.00276590736000648,"1576/123876/1558/348158",4
"4","Liver epithelial cells 1","R-HSA-211897","Cytochrome P450 - arranged by substrate type","4/48","66/10891",0.000195888275108549,0.0124389054693929,0.0102583596701582,"1555/1576/1558/1548",4
"5","Liver epithelial cells 1","R-HSA-1251985","Nuclear signaling by ERBB4","3/48","32/10891",0.000364308190017267,0.0170337590305174,0.014047733307389,"2099/9542/3084",3
"6","Liver epithelial cells 1","R-HSA-211859","Biological oxidations","6/48","222/10891",0.000402372260563404,0.0170337590305174,0.014047733307389,"1555/1576/123876/1558/1548/348158",6
"7","Liver epithelial cells 1","R-HSA-1250342","PI3K events in ERBB4 signaling","2/48","10/10891",0.000836887592428852,0.0292077649905114,0.0240876304729042,"9542/3084",2
"8","Liver epithelial cells 1","R-HSA-9748784","Drug ADME","4/48","99/10891",0.00091992960600036,0.0292077649905114,0.0240876304729042,"1576/123876/1558/348158",4
"9","Liver epithelial cells 1","R-HSA-211945","Phase I - Functionalization of compounds","4/48","106/10891",0.00118695485765916,0.0293352023278016,0.0241927279868733,"1555/1576/1558/1548",4
"10","Liver epithelial cells 1","R-HSA-1793185","Chondroitin sulfate/dermatan sulfate metabolism","3/48","50/10891",0.00136175715194689,0.0293352023278016,0.0241927279868733,"10082/1462/55790",3
"11","Liver epithelial cells 1","R-HSA-1358803","Downregulation of ERBB2:ERBB3 signaling","2/48","13/10891",0.00143841494851998,0.0293352023278016,0.0241927279868733,"9542/3084",2
"12","Liver epithelial cells 1","R-HSA-8847993","ERBB2 Activates PTK6 Signaling","2/48","13/10891",0.00143841494851998,0.0293352023278016,0.0241927279868733,"9542/3084",2
"13","Liver epithelial cells 1","R-HSA-1250347","SHC1 events in ERBB4 signaling","2/48","14/10891",0.00167343945761161,0.0293352023278016,0.0241927279868733,"9542/3084",2
"14","Liver epithelial cells 1","R-HSA-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","3/48","55/10891",0.0017948541558812,0.0293352023278016,0.0241927279868733,"10082/1462/26035",3
"15","Liver epithelial cells 1","R-HSA-6785631","ERBB2 Regulates Cell Motility","2/48","15/10891",0.00192547237400965,0.0293352023278016,0.0241927279868733,"9542/3084",2
