p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.7272067401804625,0.612,0.16,0,0,CYP2B6
0,2.3777620815692,0.718,0.201,0,0,LINC00907
0,2.2457236028676504,0.697,0.347,0,0,SOX5
0,2.221164257928093,0.868,0.46,0,0,CYP3A5
0,2.194342741638997,0.791,0.289,0,0,AL391117.1
0,2.169326875371328,0.614,0.2,0,0,AL136456.1
0,2.138228317435031,0.709,0.202,0,0,CYP2C19
0,2.0424136126743235,0.649,0.211,0,0,AGMO
0,2.0159776327767704,0.717,0.299,0,0,FMO5
0,1.991400570657191,0.643,0.231,0,0,HAL
0,1.9106811655147455,0.718,0.357,0,0,GREM2
0,1.9032816747505579,0.769,0.326,0,0,GHR
0,1.8936250887379722,0.952,0.627,0,0,SLC7A2
0,1.8576944260135464,0.807,0.336,0,0,SLCO1B1
0,1.8462938114135654,0.675,0.208,0,0,AC018467.1
0,1.843728766741891,0.892,0.49,0,0,PPARGC1A
0,1.8270890668326984,0.499,0.194,0,0,ESR1
0,1.8224786052203656,0.624,0.16,0,0,ACSM2A
0,1.8113375634978668,0.689,0.222,0,0,LINC01146
0,1.8085059032766866,0.833,0.39,0,0,GDA
0,1.796441141314555,0.397,0.105,0,0,CTNNA3
0,1.7937868518049074,0.642,0.161,0,0,ACSM2B
0,1.7600059112553514,0.444,0.179,0,0,CYP3A4
0,1.7201362122271433,0.528,0.308,0,0,TACC2
0,1.718458797399292,0.889,0.484,0,0,SLC23A2
0,1.7183382688703375,0.915,0.453,0,0,NSUN6
0,1.716180199359886,0.741,0.228,0,0,PIK3C2G
0,1.7101223973955484,0.721,0.365,0,0,BAAT
0,1.7088932218979602,0.932,0.576,0,0,SORBS2
0,1.7040289537647655,0.891,0.603,0,0,EHBP1
0,1.67729230587828,0.47,0.189,0,0,SLCO1B3
0,1.6754396695557217,0.619,0.237,0,0,INSIG1
0,1.6680944496776084,0.442,0.172,0,0,NRG1
0,1.6676168345182951,0.83,0.306,0,0,PLG
0,1.6588980366696169,0.878,0.408,0,0,FGGY
0,1.6521407475766936,0.953,0.808,0,0,ZBTB20
0,1.6519443999711854,0.876,0.493,0,0,PAH
0,1.6503534468474692,0.664,0.37,0,0,LDLRAD4
0,1.6398107623745344,0.731,0.384,0,0,LEPR
0,1.635287829345688,0.626,0.184,0,0,SORL1
0,1.6322959443041327,0.442,0.183,0,0,AL008633.1
0,1.625319493713575,0.961,0.699,0,0,RORA
0,1.6138615341869365,0.602,0.187,0,0,ABCB11
0,1.6040424194798404,0.743,0.43,0,0,SDS
0,1.6008480441614126,0.88,0.487,0,0,PRKAG2
0,1.5988853995270367,0.761,0.528,0,0,ITPR2
0,1.5971317271858634,0.624,0.144,0,0,DPYS
0,1.5949483792523642,0.372,0.152,0,0,AP001042.1
0,1.5910811040775101,0.806,0.424,0,0,SNTB1
0,1.589574487651445,0.662,0.204,0,0,FBP1
0,1.5850982569736165,0.924,0.63,0,0,PSD3
0,1.5847339620891325,0.609,0.179,0,0,APBA1
0,1.5814737049793672,0.91,0.437,0,0,PCSK6
0,1.5813609201989491,0.825,0.404,0,0,AC007364.1
0,1.5716426011058915,0.972,0.72,0,0,ELL2
0,1.5657834764838454,0.849,0.66,0,0,LRMDA
0,1.5605724221461352,0.814,0.434,0,0,PDE3B
0,1.5549258368333876,0.852,0.451,0,0,TPST1
0,1.552702750887927,0.965,0.678,0,0,CFH
0,1.544852451939732,0.813,0.352,0,0,CYP2C9
0,1.523161348619108,0.881,0.485,0,0,ALDH1A2
0,1.5228937379825296,0.879,0.629,0,0,CPS1
0,1.5223441244205638,0.554,0.167,0,0,ZNF385B
0,1.512623663917441,0.558,0.196,0,0,TAT
0,1.5105011938976187,0.755,0.343,0,0,SHROOM3
0,1.5036230175846172,0.658,0.227,0,0,GAS2
0,1.5024183964061768,0.912,0.536,0,0,SLC39A14
0,1.5013538244428648,0.87,0.635,0,0,NFIA
0,1.5005137311069607,0.698,0.341,0,0,ALDOB
0,1.4992038612363152,0.626,0.182,0,0,SLC2A9
0,1.494418653242772,0.841,0.424,0,0,NR1H4
0,1.4942481341041551,0.79,0.34,0,0,MYOM1
0,1.4876507339886593,0.701,0.305,0,0,GLDC
0,1.4860073973502939,0.624,0.304,0,0,PTP4A1
0,1.4844473533955698,0.731,0.457,0,0,P4HA1
0,1.4789154797948814,0.58,0.198,0,0,SLC38A4
0,1.4778598478332174,0.739,0.333,0,0,ACSL1
0,1.4766193042092692,0.51,0.169,0,0,AC004160.1
0,1.4692565082317586,0.872,0.646,0,0,FN1
0,1.467055392971531,0.618,0.191,0,0,EBNA1BP2
0,1.4597249856445975,0.954,0.702,0,0,PCCA
0,1.447045569626793,0.896,0.656,0,0,GPHN
0,1.4469519239125566,0.777,0.3,0,0,MAT1A
0,1.444633891056715,0.738,0.408,0,0,KCNT2
0,1.4427529406815842,0.572,0.166,0,0,GPAM
0,1.4404158192197687,0.826,0.464,0,0,L3MBTL4
0,1.438260443945497,0.712,0.323,0,0,RNF152
0,1.4237998259735825,0.749,0.358,0,0,MIR99AHG
0,1.4210480599824198,0.893,0.592,0,0,FHIT
0,1.416626908117721,0.788,0.403,0,0,SLC4A4
0,1.412940327091239,0.382,0.093,0,0,TENM2
0,1.4116258319611081,0.513,0.131,0,0,IL1RAPL2
0,1.4004787297480754,0.711,0.274,0,0,SUGCT
0,1.4003827849377877,0.8,0.373,0,0,PID1
0,1.4000053547528601,0.842,0.492,0,0,SLC25A13
0,1.3931522034681063,0.478,0.141,0,0,ALDH1L1
0,1.3925608444583661,0.494,0.203,0,0,CYP2C8
0,1.388404967508086,0.618,0.25,0,0,MYRIP
0,1.3857759723226395,0.808,0.544,0,0,DPYD
0,1.379169456500839,0.631,0.233,0,0,ABCB4
0,1.3781063016936916,0.71,0.231,0,0,CYP2C18
0,1.3732360719940877,0.869,0.496,0,0,WWC1
0,1.368554449583539,0.614,0.197,0,0,C6
0,1.3660340890083036,0.764,0.388,0,0,COBL
0,1.3635941099867601,0.91,0.667,0,0,AOPEP
0,1.3632740432117412,0.618,0.376,0,0,PDE7B
0,1.3586259246954127,0.763,0.405,0,0,LPIN2
0,1.3585583405878823,0.634,0.51,0,0,GPC6
0,1.358505059932272,0.634,0.164,0,0,FYB2
0,1.3564569072297898,0.735,0.285,0,0,PROX1
0,1.3555467741381924,0.415,0.109,0,0,BHMT
0,1.35469912046752,0.88,0.442,0,0,ABLIM3
0,1.3545114056298693,0.57,0.228,0,0,GPAT3
0,1.3459989502796021,0.855,0.442,0,0,C5
0,1.3440098932380506,0.827,0.4,0,0,F5
0,1.342957549304659,0.803,0.419,0,0,GAREM1
0,1.3416577637903584,0.805,0.396,0,0,A1CF
0,1.3415744334975146,0.838,0.575,0,0,SIK2
0,1.3414522293179862,0.712,0.328,0,0,C4BPA
0,1.3381591241156152,0.531,0.255,0,0,GLCE
0,1.331649936444526,0.811,0.526,0,0,KYNU
0,1.330351197763275,0.832,0.534,0,0,ERRFI1
0,1.3182066205681409,0.875,0.664,0,0,NAMPT
0,1.3151713072099,0.585,0.353,0,0,CTH
0,1.3140435811990308,0.76,0.541,0,0,FKBP5
0,1.3131346434057691,0.583,0.291,0,0,FOXP2
0,1.310511564232871,0.493,0.21,0,0,TPRG1
0,1.3101401599662434,0.798,0.411,0,0,AOX1
0,1.3100025668778008,0.898,0.595,0,0,SUCLG2
0,1.3095780067315101,0.805,0.456,0,0,MYO1B
0,1.3053529721118773,0.598,0.129,0,0,AKR1C8P
0,1.3051674213151694,0.907,0.528,0,0,CP
0,1.3042104565775439,0.849,0.611,0,0,FOXO1
0,1.3034148964361423,0.575,0.211,0,0,BCO2
0,1.3011437898012794,0.843,0.493,0,0,THRB
0,1.2987645266534282,0.967,0.745,0,0,DST
0,1.2987628968006395,0.953,0.689,0,0,ADK
0,1.2978102697405154,0.622,0.223,0,0,RGN
0,1.2926082860998123,0.413,0.168,0,0,AC242426.2
0,1.2908949032296233,0.743,0.321,0,0,CA5A
0,1.2887376873219687,0.769,0.349,0,0,SLC1A1
0,1.2859872523941551,0.732,0.319,0,0,NR5A2
0,1.2848835688043188,0.721,0.344,0,0,PPARA
0,1.2820249592245962,0.785,0.412,0,0,CRADD
0,1.2773749741419274,0.596,0.288,0,0,BACH2
0,1.2758811887522818,0.309,0.215,0,0,LINC02398
0,1.2757395576970474,0.748,0.352,0,0,GPT2
0,1.2742361106651254,0.519,0.106,0,0,SLC22A25
0,1.2738564334825173,0.9,0.67,0,0,WWOX
0,1.2697137374800658,0.297,0.184,0,0,BASP1
0,1.26904174765022,0.8,0.453,0,0,AIG1
0,1.2654991929223796,0.523,0.111,0,0,LINC02027
0,1.2631595966527271,0.921,0.594,0,0,LONP2
0,1.262786314390108,0.588,0.237,0,0,FAAH2
0,1.2624647304897199,0.711,0.244,0,0,ABCA8
0,1.2622746502702962,0.84,0.459,0,0,ASL
0,1.259881553423524,0.354,0.097,0,0,LINC02336
